overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,composite_score,super_landmark,global_pagerank,pr_pct,local_betweenness,lpr_pct,global_betweenness,bw_pct,bridge_score,in_degree,out_degree,community_size
107,1837473,"Tekraj Vasandi Alias K.L. Basandhi vs Union Of India & Others on 10 December, 1987",1987.0,https://indiankanoon.org/doc/1837473/,case,0,C0_S9,0.948043,True,6.11e-05,0.9411987143127245,5.63514e-05,0.9415768576290414,1.4239e-05,0.9604840234448856,1.38024e-05,6,23,10922
108,700780,Workmen_Of_Meenakshi_Mills_Ltd_Etc_Etc_vs_Meenakshi_Mills_Ltd_And_Anr_Etc_Etc_on_15_May_1992,1992.0,https://indiankanoon.org/doc/700780/,case,0,C0_S0,0.947731,True,6.057e-05,0.9402533560219323,3.32723e-05,0.921724333522405,3.40123e-05,0.9748534694649272,3.37546e-05,6,72,10922
110,35662889,Raja_Anand_Brahma_Shah_vs_State_Of_Uttar_Pradesh_And_Ors_on_16_September_1966,1966.0,https://indiankanoon.org/doc/35662889/,case,5,C5_S3,0.946233,True,5.87e-05,0.9383626394403479,7.14286e-05,0.948667044809983,1.07426e-05,0.9534883720930233,1.06634e-05,12,5,4132
111,130570,"Kerala State Electricity Board vs Indian Aluminium Co on 1 September, 1975",1975.0,https://indiankanoon.org/doc/130570/,case,0,C0_S2,0.94602,True,3.684e-05,0.911892607298166,5.59949e-05,0.9411987143127245,9.05111e-05,0.988466628852335,9.00773e-05,12,87,10922
112,732612,"Builders Association Of India & Ors. ... vs Union Of India & Ors. Etc. Etc on 31 March, 1989",1989.0,https://indiankanoon.org/doc/732612/,case,0,C0_S34,0.945944,True,7.917e-05,0.9555681603327661,3.77529e-05,0.9273964832671583,9.1238e-06,0.9481943656645869,8.8313e-06,14,40,10922
113,1963913,"State Of Madhya Pradesh vs Ranojirao Shinde & Anr on 21 March, 1968",1968.0,https://indiankanoon.org/doc/1963913/,case,0,C0_S1,0.945755,True,6.782e-05,0.9470599357156362,2.52556e-05,0.9151068254868595,1.93559e-05,0.9661561731896389,1.91603e-05,10,20,10922
116,1907642,"India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989",1989.0,https://indiankanoon.org/doc/1907642/,case,6,C6,0.944503,True,4.816e-05,0.9256948383437322,2.61389e-05,0.9159576479485725,7.37207e-05,0.9863868406125922,7.37177e-05,24,30,1341
120,1474119,State_Of_Karnataka_And_Anr_Etc_vs_Shri_Ranganatha_Reddy_Anr_Etc_on_11_October_1977,1977.0,https://indiankanoon.org/doc/1474119/,case,0,C0_S12,0.943193,True,6.452e-05,0.9442238608432596,1.84905e-05,0.9035734543391946,2.42215e-05,0.9703157496691246,2.40782e-05,23,2,10922
121,104313664,"Rural Litigation & Entitlement Kendra vs State Of U.P on 30 August, 1988",1988.0,https://indiankanoon.org/doc/104313664/,case,6,C6,0.943113,True,0.00015234,0.9812819058423142,2.61389e-05,0.9159576479485725,3.7368e-06,0.9188882586500283,3.7338e-06,14,17,1341
125,1240174,"Indira Nehru Gandhi (Smt.) vs Raj Narain & Anr on 24 June, 1975",1975.0,https://indiankanoon.org/doc/1240174/,case,0,C0_S11,0.942456,True,5.471e-05,0.9347702779353375,3.36375e-05,0.9221024768387219,1.90301e-05,0.965778029873322,1.87695e-05,24,19,10922
129,1882267,Union_Of_India_Ors_vs_M_S_Indo_Afghan_Agencies_Ltd_on_22_November_1967,1967.0,https://indiankanoon.org/doc/1882267/,case,67,C67,0.939715,True,5.512e-05,0.9355265645679712,0.0001653534,0.9710720363017583,3.9798e-06,0.9221024768387219,3.9588e-06,15,3,1398
133,693176,Maharao_Sahib_Sri_Bhim_Singhji_Etc_Etc_vs_Union_Of_India_And_Ors_Etc_Etc_on_1_July_1985,1985.0,https://indiankanoon.org/doc/693176/,case,0,C0_S12,0.938987,True,4.222e-05,0.9192664019663452,5.69726e-05,0.9417659292871998,1.38123e-05,0.9595386651540934,1.33709e-05,11,5,10922
