source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,1869786,1869786,Cobb v. Maldonado,1984,https://www.courtlistener.com/opinion/1869786/cobb-v-maldonado/,1095649,1869786,1095649,Bauld v. JA Jones Const. Co.,https://www.courtlistener.com/opinion/1095649/bauld-v-ja-jones-const-co/
courtlistener,1869786,1869786,Cobb v. Maldonado,1984,https://www.courtlistener.com/opinion/1869786/cobb-v-maldonado/,1109691,1869786,1109691,"Holmes v. Blazer Financial Services, Inc.",https://www.courtlistener.com/opinion/1109691/holmes-v-blazer-financial-services-inc/
courtlistener,1869786,1869786,Cobb v. Maldonado,1984,https://www.courtlistener.com/opinion/1869786/cobb-v-maldonado/,1865742,1869786,1865742,Carlton v. Ridings,https://www.courtlistener.com/opinion/1865742/carlton-v-ridings/
courtlistener,1869786,1869786,Cobb v. Maldonado,1984,https://www.courtlistener.com/opinion/1869786/cobb-v-maldonado/,1869694,1869786,1869694,Cates v. Graham,https://www.courtlistener.com/opinion/1869694/cates-v-graham/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,304903,1997738,304903,"Jerry W. Canterbury v. William Thornton Spence and the Washington Hospital Center, a Body Corporate",https://www.courtlistener.com/opinion/304903/jerry-w-canterbury-v-william-thornton-spence-and-the-washington-hospital/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,2222889,1997738,9740301,Engberg v. Ford Motor Company,https://www.courtlistener.com/opinion/2222889/engberg-v-ford-motor-company/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,2225931,1997738,2225931,Elm Creek State Bank v. Johnson,https://www.courtlistener.com/opinion/2225931/elm-creek-state-bank-v-johnson/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,1285032,1997738,9852079,"Cunningham v. Yankton Clinic, P. A.",https://www.courtlistener.com/opinion/1285032/cunningham-v-yankton-clinic-p-a/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,397396,1997738,397396,"Gifton Jones, Jr., and Gracie Jones v. W. O. Fitch, Trustee",https://www.courtlistener.com/opinion/397396/gifton-jones-jr-and-gracie-jones-v-w-o-fitch-trustee/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,2440303,1997738,2440303,Wesson v. Jefferson Savings & Loan Ass'n,https://www.courtlistener.com/opinion/2440303/wesson-v-jefferson-savings-loan-assn/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,1673230,1997738,9667449,Dykstra v. National Bank of South Dakota,https://www.courtlistener.com/opinion/1673230/dykstra-v-national-bank-of-south-dakota/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,1733068,1997738,9674908,Application of Southern Hills Bank of Edgemont,https://www.courtlistener.com/opinion/1733068/application-of-southern-hills-bank-of-edgemont/
courtlistener,1997738,1997738,Matter of Estate of Laible,1984,https://www.courtlistener.com/opinion/1997738/matter-of-estate-of-laible/,7924575,1997738,7874241,Miner County Bank v. Laible,https://www.courtlistener.com/opinion/7924575/miner-county-bank-v-laible/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,2428513,6758247,9770930,Lebohm v. City of Galveston,https://www.courtlistener.com/opinion/2428513/lebohm-v-city-of-galveston/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6863740,6758247,6753344,Porter v. City of Oberlin,https://www.courtlistener.com/opinion/6863740/porter-v-city-of-oberlin/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6864359,6758247,6754122,State v. Buckley,https://www.courtlistener.com/opinion/6864359/state-v-buckley/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6865050,6758246,6754978,Gregory v. Flowers,https://www.courtlistener.com/opinion/6865050/gregory-v-flowers/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6865516,6758247,6755578,Primes v. Tyler,https://www.courtlistener.com/opinion/6865516/primes-v-tyler/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6866200,6758246,6756450,Cook v. Matvejs,https://www.courtlistener.com/opinion/6866200/cook-v-matvejs/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6867003,6758246|6758247,6757567,Baird v. Loeffler,https://www.courtlistener.com/opinion/6867003/baird-v-loeffler/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6867049,6758246|6758247,6757639,Meros v. University Hospitals,https://www.courtlistener.com/opinion/6867049/meros-v-university-hospitals/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,2407818,6758247,2407818,Sax v. Votteler,https://www.courtlistener.com/opinion/2407818/sax-v-votteler/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6867208,6758247,6757886,O'Stricker v. Jim Walter Corp.,https://www.courtlistener.com/opinion/6867208/ostricker-v-jim-walter-corp/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6867265,6758247,6757973,Oliver v. Kaiser Community Health Foundation,https://www.courtlistener.com/opinion/6867265/oliver-v-kaiser-community-health-foundation/
courtlistener,6867432,6758246|6758247,"Opalko v. Marymount Hospital, Inc.",1984,https://www.courtlistener.com/opinion/6867432/opalko-v-marymount-hospital-inc/,6867362,6758246|6758247,6758120,Schwan v. Riverside Methodist Hospital,https://www.courtlistener.com/opinion/6867362/schwan-v-riverside-methodist-hospital/
courtlistener,7029567,6931531,Jefferis v. Marzano,1984,https://www.courtlistener.com/opinion/7029567/jefferis-v-marzano/,1180743,6931531,1180743,Baldassarre v. West Oregon Lumber Co.,https://www.courtlistener.com/opinion/1180743/baldassarre-v-west-oregon-lumber-co/
courtlistener,7029567,6931531,Jefferis v. Marzano,1984,https://www.courtlistener.com/opinion/7029567/jefferis-v-marzano/,1403318,6931531,1403318,Sheedy v. Stall,https://www.courtlistener.com/opinion/1403318/sheedy-v-stall/
courtlistener,7924575,7874241|7874242,Miner County Bank v. Laible,1984,https://www.courtlistener.com/opinion/7924575/miner-county-bank-v-laible/,304903,7874241,304903,"Jerry W. Canterbury v. William Thornton Spence and the Washington Hospital Center, a Body Corporate",https://www.courtlistener.com/opinion/304903/jerry-w-canterbury-v-william-thornton-spence-and-the-washington-hospital/
courtlistener,7924575,7874241|7874242,Miner County Bank v. Laible,1984,https://www.courtlistener.com/opinion/7924575/miner-county-bank-v-laible/,2222889,7874241,9740301,Engberg v. Ford Motor Company,https://www.courtlistener.com/opinion/2222889/engberg-v-ford-motor-company/
