source_doc_id,source_case,source_year,source_url,cited_doc_id,cited_name,cited_url
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1983234,30,https://indiankanoon.org/doc/1983234/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1566826,article 32 (2),https://indiankanoon.org/doc/1566826/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1262401,articles 22 (4),https://indiankanoon.org/doc/1262401/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,735354,(7),https://indiankanoon.org/doc/735354/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1709581,article 22 (5).,https://indiankanoon.org/doc/1709581/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,655638,articles 20,https://indiankanoon.org/doc/655638/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1010805,article 13 (1),https://indiankanoon.org/doc/1010805/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1456610,(2),https://indiankanoon.org/doc/1456610/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1378441,article 19 (1) (a),https://indiankanoon.org/doc/1378441/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1569253,Indian Penal Code,https://indiankanoon.org/doc/1569253/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,367586,Article 14,https://indiankanoon.org/doc/367586/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,445276,Criminal Procedure Code,https://indiankanoon.org/doc/445276/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,427436,Administrator General of Bengal v. Premlal Mullick,https://indiankanoon.org/doc/427436/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1123514,article 214.,https://indiankanoon.org/doc/1123514/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,108209556,article 31 (2),https://indiankanoon.org/doc/108209556/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,19636,articles 6,https://indiankanoon.org/doc/19636/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1811608,70,https://indiankanoon.org/doc/1811608/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,806892,The King v. The Secretary of State,https://indiankanoon.org/doc/806892/
1857950,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,https://indiankanoon.org/doc/1857950/,1293832,article 22 (1),https://indiankanoon.org/doc/1293832/
