overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
454,1766988,"Dhurandhar Prasad Singh vs Jai Prakash University And Ors on 24 July, 2001",2001.0,https://indiankanoon.org/doc/1766988/,case,5,C5_S2,expanded,0.00031109292400581057,0.000466449719560701,0.006253756311241512,0.46153846153846156,9,4,0.8938446014127144,0.7989909182643794,0.8010090817356206,0.8373360242179617,False
455,88376,"Employees' State Insurance Act, 1948",,https://indiankanoon.org/doc/88376/,reference,9,C9_S8,expanded,0.0003741202457610808,0.0002497872774734442,0.01941752290113826,0.5882352941176471,17,0,0.9227043390514632,0.7083753784056509,0.9235116044399596,0.8371342078708377,False
456,978541,"Life Insurance Corporation Of India vs India Automobiles And Co. And Ors on 1 August, 1990",1990.0,https://indiankanoon.org/doc/978541/,case,1,C1_S17,expanded,0.00014974508281649762,0.0020216493300385355,0.04850785889160231,0.07142857142857142,2,12,0.6571140262361251,0.9515640766902119,0.9675075681130172,0.8369727547931383,False
457,1732040,Accountant_And_Secretarial_Services_vs_Union_Of_India_Ors_on_20_July_1988,1988.0,https://indiankanoon.org/doc/1732040/,case,1,C1_S7,expanded,0.0001545282952772388,0.0027943199602876033,0.014386798365328126,0.4482758620689655,5,24,0.6760847628657921,0.9683148335015136,0.8956609485368315,0.8368920282542887,False
458,1719430,Associated_Hotels_Of_India_Ltd_vs_R_N_Kapoor_on_19_May_1959,,https://indiankanoon.org/doc/1719430/,reference,1,C1_S19,expanded,0.0004895296725740053,0.00041837690432870733,0.003349179837617238,0.2,10,0,0.949949545913219,0.7834510595358224,0.7158425832492432,0.8365287588294652,False
459,452639,Art. 3 1,,https://indiankanoon.org/doc/452639/,reference,0,C0_S0,expanded,0.0004890501001236536,0.00042193547183571277,0.0032651991451203535,0.32,25,0,0.9497477295660949,0.7850655903128153,0.7130171543895055,0.8365287588294652,False
460,675387,S_M_Karim_vs_Mst_Bibi_Sakina_on_14_February_1964,1964.0,https://indiankanoon.org/doc/675387/,case,5,C5_S4,expanded,0.0005367563268309241,0.00019536514151942026,0.020628503771597306,0.125,8,0,0.9558022199798184,0.6702320887991927,0.9287588294651867,0.8361654894046419,False
461,24626380,"Motor Vehicles Act, 1939",,https://indiankanoon.org/doc/24626380/,reference,7,C7_S7,expanded,0.0003101394783188848,0.0005600114433202063,0.004236404353289323,0.6818181818181818,22,0,0.893037336024218,0.8221997981836529,0.7497477295660948,0.8360443995963673,False
462,1273177,Southern_Petrochemical_Industries_Co_vs_Electricity_Inspector_And_E_T_I_O_on_15_May_2007,2007.0,https://indiankanoon.org/doc/1273177/,case,8,C8_S7,expanded,0.00021892085674712992,0.0006589290576839003,0.013051281667330822,0.5454545454545454,8,14,0.8056508577194753,0.8409687184661958,0.8865792129162462,0.8359636730575177,False
463,1955064,Factories Act,,https://indiankanoon.org/doc/1955064/,reference,9,C9_S8,expanded,0.0003670637512132773,0.00025769547471010614,0.017382059442869413,0.5,22,0,0.9196770938446014,0.7126135216952573,0.9152371342078708,0.8359636730575176,False
