overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
3059,60446121,Rakesh Kumar Agarwalla vs National Law School Of India ...,2020.0,https://indiankanoon.org/doc/60446121/,case,7,C7_S5,expanded,0.00011287045123371562,0.00012751226963079066,0.00037189809531333747,0.625,0,8,0.1432896064581231,0.612108980827447,0.4944500504540868,0.40104944500504547,False
3060,473980,Balwant Singh (Dead) vs Jagdish Singh & Ors,2010.0,https://indiankanoon.org/doc/473980/,case,5,C5_S12,expanded,0.00011287045123371562,5.2435931743516714e-05,0.0034259425941328536,0.25,0,4,0.1432896064581231,0.49949545913218973,0.7188698284561049,0.40088799192734614,False
3063,234128,Kamla_Devi_vs_Vasdev_on_14_December_1994,1994.0,https://indiankanoon.org/doc/234128/,case,1,C1_S1,expanded,0.00011287045123371562,7.343367156179486e-05,0.0017496012509510132,0.0,0,7,0.1432896064581231,0.5374369323915237,0.6423814328960645,0.4007669021190716,False
3064,173467631,State Bank Of India vs The Consortium Of Mr. Murari Lal Jalan ...,2024.0,https://indiankanoon.org/doc/173467631/,case,7,C7_S1,expanded,0.00011287045123371562,0.00013968413899890969,0.00023882437086353227,0.16666666666666666,0,6,0.1432896064581231,0.6244197780020182,0.46700302724520687,0.40048435923309794,False
3080,53830884,Ashok Kumar Kalra vs Wing Cdr Surendra Agnihotri,2019.0,https://indiankanoon.org/doc/53830884/,case,4,C4_S2,expanded,0.00011287045123371562,0.00036487163092288735,0.0,0.5,0,2,0.1432896064581231,0.7632694248234106,0.18446014127144297,0.3995156407669021,False
3081,507033,Khoday Distilleries Limited (Now Known ... vs The Scotch Whisky Association And ...,2008.0,https://indiankanoon.org/doc/507033/,case,7,C7_S8,expanded,0.00011287045123371562,7.771871447088671e-05,0.001491639862266099,0.5,0,4,0.1432896064581231,0.543087790110999,0.6238143289606458,0.39931382441977803,False
3082,1378805,"S.P. Goel vs Collector Of Stamps, Delhi on 8 December, 1995",1995.0,https://indiankanoon.org/doc/1378805/,case,7,C7_S0,expanded,0.00011287045123371562,0.00017781348645579128,4.437269868113512e-05,0.42857142857142855,0,7,0.1432896064581231,0.6563067608476286,0.39475277497477296,0.39878910191725525,False
3094,853159,"Commissioner Of Income-Tax,West ... vs Hindustan Housing & Land ... on 29 July, 1986",1986.0,https://indiankanoon.org/doc/853159/,case,8,C8_S0,expanded,0.00011287045123371562,0.00015609454988650974,9.914295480397776e-05,0.5,0,4,0.1432896064581231,0.6417759838546923,0.42199798183652876,0.3984258324924319,False
3096,268412,"State Of Jharkhand & Ors.Etc vs M/S Shivam Coke Industries ,Dhanbad Etc on 10 August, 2011",2011.0,https://indiankanoon.org/doc/268412/,case,8,C8_S6,expanded,0.0001194640416706143,3.4408498268660205e-05,0.0,0.75,1,3,0.4474268415741675,0.45610494450050454,0.18446014127144297,0.39830474268415744,False
3097,1563296,"Miss Kanta Udharam Jagasia vs Shri C.K.S.Rao on 2 December, 1997",1997.0,https://indiankanoon.org/doc/1563296/,case,1,C1_S5,expanded,0.00011287045123371562,6.592245847167299e-05,0.0019899715601791753,0.2,0,5,0.1432896064581231,0.524117053481332,0.6548940464177598,0.39794147325933404,False
3099,458197,L.I.C. Of India vs Anuradha,,https://indiankanoon.org/doc/458197/,case,5,C5_S4,expanded,0.00018016094710248664,0.0,0.0,0.0,1,0,0.7475277497477296,0.1539858728557013,0.18446014127144297,0.397497477295661,False
