parent_community,subcommunity_id,size,top_label,top5_labels,top_betweenness_label
4,C4_S4,11,Ashok Leland Ltd vs State Of Tamil Nadu And Anr,"Ashok Leland Ltd vs State Of Tamil Nadu And Anr | Bar Council Of India vs High Court Of Kerala | S.N. Chandrashekar And Anr vs State Of Karnataka And Ors | Sri Ramnik Vallabhdas Madhvani And Ors vs Taraben Pravinlal Madhvani | Divisional Manager, Plantation ... vs Munnu Barrick And Ors.",Ashok Leland Ltd vs State Of Tamil Nadu And Anr
4,C4_S5,10,M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors,M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors | National Insurance Co. Ltd vs Laxmi Narain Dhut | Oriental Insurance Co. Ltd vs Brij Mohan & Ors | National Insurance Co. Ltd vs V. Chinnamma & Ors | The Oriental Insurance Company Limited vs Meena Variyal & Ors,National Insurance Co. Ltd vs Laxmi Narain Dhut
4,C4_misc,51,Sh. Ashok Kumar vs Union Of India Through,Sh. Ashok Kumar vs Union Of India Through | T.Arunkumar vs The Assistant Elementary Education ... | Kathiravan vs The Special Commissioner And Director | D.Raja vs The Director Of Municipal ... | K.Subash vs The Secretary To Government,Sh. Ashok Kumar vs Union Of India Through
5,C5_S0,40,Specific Relief Act,"Saradamani Kandappan vs S. Rajalakshmi & Ors on 4 July, 2011 | P. D'Souza vs Shondrilo Naidu | K. Narendra vs Riviera Apartments (P) Ltd on 24 May, 1999 | Manzoor Ahmed Margray vs Gulam Hassan Aram & Ors on 5 October, 1999 | Ferrodous Estates (Pvt) Ltd. vs P.Gopirathnam (Dead) And Ors.",Specific Relief Act
5,C5_S1,39,Limitation Act,"Mukri Gopalan vs Cheppilat Puthanpurayil Aboobacker on 12 July, 1995 | M.P. Steel Corporation vs Commnr. Of Central Excise on 23 April, 2015 | State_Of_Maharashtra_vs_M_S_Hindustan_Construction_Co_Ltd_on_1_April_2010 | The Officer On Special Duty(Land ... vs Shah Manilal Chandulal Etc on 9 February, 1996 | M/S Umesh Goel vs Himachal Pradesh Cooperative Group ...",Limitation Act
5,C5_S10,17,"T. 
Arivandandam v. T.V. Satyapal and Anr.","Dahiben vs Arvindbhai Kalyanji Bhanusali (Gajra) ... | Madanuri Sri Rama Chandra Murthy vs Syed Jalal | Sri Biswanath Banik vs Sulanga Bose on 14 March, 2022 | Saurav Jain vs M/S A.B.P. Design | Azhar_Hussain_vs_Rajiv_Gandhi_on_25_April_1986",Saurav Jain vs M/S A.B.P. Design
5,C5_S11,14,"P. Ravindranath vs Sasikala on 15 July, 2024","P. Ravindranath vs Sasikala on 15 July, 2024 | Rajesh Kumar vs Anand Kumar on 17 May, 2024 | Sughar Singh vs Hari Singh (Dead) Through Lrs. on 26 October, 2021 | Man Kaur(Dead)By Lrs vs Hartar Singh Sangha | 5) Azhar Sultana Vs. B. Rajamani","P. Ravindranath vs Sasikala on 15 July, 2024"
5,C5_S12,14,Motilal and Chhotelal v. Rewa Coalfields Ltd.,"Government Of Maharashtra, (Water ... vs M/S Borse Brothers Engineers And ... | Parimal vs Veena @ Bharti on 8 February, 2011 | Pathapati Subba Reddy (Died) By Lrs And ... vs Special Deputy Collector (La) on 8 April, 2024 | Manindra_Land_And_Buildingcorporation_vs_Bhutnath_Banerjee_And_Others_on_2_May_1963 | State Of West Bengal vs Administrator, Howrah Municipality & ... on 14 December, 1971","Government Of Maharashtra, (Water ... vs M/S Borse Brothers Engineers And ..."
5,C5_S13,12,Aliyathammuda Beethathebiyyappura ... vs Pattakal Cheriyakoya .,"Aliyathammuda Beethathebiyyappura ... vs Pattakal Cheriyakoya . | Section 25 in The Limitation Act, 1963 | 81- | Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994 | Sabir Ali Khan vs Syed Mohd. Ahmad Ali Khan",Aliyathammuda Beethathebiyyappura ... vs Pattakal Cheriyakoya .
5,C5_S14,11,Konda_Lakshmana_Bapuji_vs_Govt_Of_Andhra_Pradesh_Ors_on_29_January_2002,"Konda_Lakshmana_Bapuji_vs_Govt_Of_Andhra_Pradesh_Ors_on_29_January_2002 | Andhra Pradesh Land Grabbing (Prohibition) Act, 1982 | M/S Kaushik Coop.Building Society vs N.Parvathamma & Ors | Om Prakash Singh vs M.Lingamaiah & Ors | Section 11 in Andhra Pradesh Land Grabbing (Prohibition) Act, 1982",Konda_Lakshmana_Bapuji_vs_Govt_Of_Andhra_Pradesh_Ors_on_29_January_2002
