parent_community,subcommunity_id,size,top_label,top5_labels,top_betweenness_label
8,C8_S1,33,"India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989","India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989 | Goodricke Group Ltd. And Ors vs State Of W.B. And Ors on 25 November, 1994 | The_State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | State_Of_Orissa_Other_vs_The_Tltaghur_Paper_Mills_Company_Ltd_on_1_March_1985 | Federation Of Hotel & Restaurant ... vs Union Of India & Ors on 2 May, 1989",Mineral Area Development Authority Etc vs M/S Steel Authority Of India
8,C8_S10,11,"Union Of India & Ors vs Sicom Ltd. & Anr on 5 December, 2008","Union Of India & Ors vs Sicom Ltd. & Anr on 5 December, 2008 | Punjab National Bank vs Union Of India Thr. Its Secretary on 24 February, 2022 | Central Boards of Revenue Act, 1963 | M/S. Nagarjuna Construction Co. Ltd vs Govt. Of A.P. & Ors on 20 October, 2008 | M/S Rana Girders Ltd vs Union Of India & Ors on 16 August, 2013","Punjab National Bank vs Union Of India Thr. Its Secretary on 24 February, 2022"
8,C8_S2,32,The_Hingir_Rampur_Coal_Co_Ltd_And_vs_The_State_Of_Orissa_And_Others_on_21_November_1960,"Orissa_Cement_Ltd_And_Ors_Etc_Etc_vs_State_Of_Orissa_And_Ors_Etc_Etc_on_4_April_1991 | State_Of_Orissa_vs_M_A_Tulloch_And_Co_And_Connected_on_16_August_1963 | Monnet_Ispat_And_Energy_Ltd_vs_Union_Of_India_And_Ors_on_26_July_2012 | Manohar Lal Sharma vs The Principle Secretary & Others on 25 August, 2014 | Baijnath Kedia vs State Of Bihar & Ors on 28 August, 1969",Monnet_Ispat_And_Energy_Ltd_vs_Union_Of_India_And_Ors_on_26_July_2012
8,C8_S3,28,Finance Act,"Assistant_Commissioner_Of_Income_Tax_vs_Ahmedabad_Urban_Development_Authority_on_19_October_2022 | Union_Of_India_Ors_Etc_Etc_vs_Bombay_Tyre_International_Ltd_Etc_Etc_on_7_October_1983 | Union Of India vs Vkc Footsteps India Pvt. Ltd. | Chief Commissioner Of Central Goods And ... vs M/S Safari Retreats Private Limited | Union Of India vs M/S Mohit Minerals Pvt. Ltd. on 19 May, 2022",Finance Act
8,C8_S4,28,"Central Excise & Salt Act, 1944","Union Of India vs Association Of Unified Telecom Service ... | State Of Nct Of Delhi vs Sanjay on 4 September, 2014 | Ram Kirpal Bhagat & Ors vs State Of Bihar on 13 November, 1969 | Municipal Corporation Of Delhi Etc vs Children Book Trust Etc on 21 April, 1992 | Akbar Badrudin Jiwani vs Collector Of Customs, Bombay on 14 February, 1990","Central Excise & Salt Act, 1944"
8,C8_S5,24,Shri Prithvi Cotton Mills Ltd. v. Broach Borough Municipality & Ors.,"S_S_Bhola_Ors_vs_B_D_Sardana_Ors_on_11_July_1997 | State_Of_Tamil_Nadu_vs_Arooran_Sugars_Ltd_on_31_October_1996 | Krishna Chandra Gangopadhyaya Etc vs Union Of India & Ors on 18 April, 1975 | Madan_Mohan_Pathak_vs_Union_Of_India_Ors_Etc_on_21_February_1978 | Government Of Andhra Pradesh & Anr vs Hindustan Machine Tools Ltd on 1 May, 1975",Shri Prithvi Cotton Mills Ltd. v. Broach Borough Municipality & Ors.
8,C8_S6,24,Sales Tax Act,"Twentieth Century Finance Corpn.Ltd.& ... vs State Of Maharashtra on 9 May, 2000 | M/S Associated Cement Companies Ltd vs Commissioner Of Customs on 25 January, 2001 | Builders Association Of India & Ors. ... vs Union Of India & Ors. Etc. Etc on 31 March, 1989 | M/S Larsen & Toubro Limited & Anr vs State Of Karnataka & Anr | Balabhagas Hulaschand vs State Of Orissa on 9 December, 1975",Sales Tax Act
8,C8_S7,20,M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978,"M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978 | Union_Of_India_Ors_vs_Godfrey_Philips_India_Ltd_Etc_Etc_on_30_September_1985 | Southern_Petrochemical_Industries_Co_vs_Electricity_Inspector_And_E_T_I_O_on_15_May_2007 | Kasinka Trading And Another, Etc. Etc. vs Union Of India And Another on 18 October, 1994 | Pawan_Alloys_And_Casting_Pvt_Ltd_Meerut_vs_U_P_State_Electricity_Board_And_Ors_on_5_August_1997","Kasinka Trading And Another, Etc. Etc. vs Union Of India And Another on 18 October, 1994"
8,C8_S8,12,"Commnr. Of Customs (Import), Mumbai vs M/S. Dilip Kumar And Company","Commnr. Of Customs (Import), Mumbai vs M/S. Dilip Kumar And Company | Commnr. Of Customs (Imports), Mumbai vs M/S. Tullow India Operations Ltd | Commnr. Of Central Excise, New Delhi vs M/S. Hari Chand Shri Gopal & Ors | Ramnath And Co. vs The Commissioner Of Income Tax | Central Board Of Direct Taxes & Ors. New ... vs Oberoi Hotels (India) Pvt. Ltd on 30 March, 1998","Commnr. Of Customs (Import), Mumbai vs M/S. Dilip Kumar And Company"
8,C8_S9,11,K.T. Moopil Nair V. State of Kerala,"Twyford Tea Co. Ltd. And Another vs The State Of Kerala And Another on 15 January, 1970 | Union Of India & Anr vs M/S Nitdip Text. Processors (P)Ltd.& ... | Union Of India & Anr., Etc. Etc vs A.Sanyasi Rao & Ors., Etc. Etc on 13 February, 1996 | State Of Kerala vs Haji K. Haji K. Kutty Naha & Ors. Etc on 13 August, 1968 | The Amalgamated Tea Estate Co. Ltd. Etc vs State Of Kerala on 2 April, 1974",Union Of India & Anr vs M/S Nitdip Text. Processors (P)Ltd.& ...
8,C8_misc,19,The_State_Of_Uttar_Pradesh_And_Others_vs_Babu_Ram_Upadhya_on_25_November_1960,"M/S Patil Automation Private Limited vs Rakheja Engineers Private Limited | Sreenivasa_General_Traders_Ors_Etc_vs_State_Of_Andhra_Pradesh_Ors_Etc_on_6_September_1983 | B.S.E. Brokers Forum, Bombay & Ors. vs Securities & Exchange Board Of India & ... on 1 February, 2001 | Gaurav_Aseem_Avtej_vs_U_P_State_Sugar_Corporation_Ltd_on_20_April_2018 | Kewal_Krishan_Puri_Anr_vs_State_Of_Punjab_Others_on_4_May_1979","U.P. Sugar Undertaking (Acquisition) Act, 1971"
9,C9_S0,34,"Tata Cellular  v.  Union  of
India6","Tata Cellular  v.  Union  of
India6 | M.C. Mehta vs Union Of India & Ors | Kerala State Electricity Board & Anr vs Kurien E.Kalathil & Ors on 19 July, 2000 | Radhakrishna_Agarwal_Ors_vs_State_Of_Bihar_Ors_on_17_March_1977 | M_P_Power_Management_Company_Limited_vs_M_S_Sky_Power_Southeast_Solar_India_on_16_November_2022","Tata Cellular  v.  Union  of
India6"
9,C9_S1,27,Meerut Devt.Authority vs Association Of Management Studies & Anr,"Haryana Urban Dev. Authority & Ors vs Orchid Infrastructure Developers ... | Municipal Corporation vs Bvg India Limited | State Of Jharkhand & Ors vs M/S Cwe-Soma Consortium | Star Enterprises Etc. Etc vs City And Industrial Development ... on 30 April, 1990 | U.P.Avas Evam Vikas Parishad & Ors vs Om Prakash Sharma on 18 April, 2013",Haryana Urban Dev. Authority & Ors vs Orchid Infrastructure Developers ...
9,C9_S10,8,State Of Rajasthan And Ors vs Gotan Lime Stone Khanij Udyog And Anr,"State Of Rajasthan And Ors vs Gotan Lime Stone Khanij Udyog And Anr | Balwant Rai Saluja & Anr Etc.Etc vs Air India Ltd.& Ors | State of U.P. & Ors. v. Renusagar Power Co. & Ors. | New Horizons Ltd vs Union Of India on 9 November, 1994 | Delhi Dev. Authority vs S.G.G. Towers (P) Ltd",State Of Rajasthan And Ors vs Gotan Lime Stone Khanij Udyog And Anr
9,C9_S2,25,"Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975","Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975 | Central_Inland_Water_vs_Brojo_Nath_Ganguly_Anr_on_6_April_1986 | Sukhdev Singh & Ors. v. Bhagatram Sardar Singh Raghuvanshi & Others | Zee Telefilms Ltd. & Anr vs Union Of India & Ors | Air India Statutory Corporation vs United Labour Union & Ors on 6 November, 1996",Zee Telefilms Ltd. & Anr vs Union Of India & Ors
9,C9_S3,24,"Indian Registration Act, 1866","Sultana_Begum_vs_Prem_Chand_Jain_on_10_December_1996 | Executive Committee Of Vaish Degree ... vs Lakshmi Narain And Ors on 12 December, 1975 | K H Nazar vs Mathew K Jacob | Dalco Engineering Pvt. Ltd vs Satish Prabhakar Padhye & Ors on 31 March, 2010 | Pandurang_Ganpati_Chaugule_vs_Vishwasrao_Patil_Murgud_Sahakari_Bank_on_5_May_2020",Pandurang_Ganpati_Chaugule_vs_Vishwasrao_Patil_Murgud_Sahakari_Bank_on_5_May_2020
9,C9_S4,22,Surya_Dev_Rai_vs_Ram_Chander_Rai_Ors_on_7_August_2003,"Surya_Dev_Rai_vs_Ram_Chander_Rai_Ors_on_7_August_2003 | Shalini Shyam Shetty & Anr vs Rajendra Shankar Patil on 23 July, 2010 | Harjinder_Singh_vs_Punjab_State_Warehousing_Corp_on_5_January_2010 | Martin_Burn_Ltd_vs_The_Corporation_Of_Calcutta_on_19_August_1965 | State Of Rajasthan vs Bhawani Singh And Others on 6 March, 1992",Harjinder_Singh_vs_Punjab_State_Warehousing_Corp_on_5_January_2010
9,C9_S5,20,"Industrial Disputes Act, 1947","Novartis India Ltd vs State Of West Bengal & Ors | Deepali Gundu Surwase vs Kranti Junior Adhyapak & Ors | Sanghi Jeevaraj Ghewar Chand & Ors vs Secretary, Madras Chillies, Grains ... on 16 July, 1968 | Gujarat Electricity Board,Thermal ... vs Hind Mazdoor Sabha & Ors on 9 May, 1995 | National_Textile_Corporation_Ltd_Ors_vs_Sitaram_Mills_Ltd_Ors_Etc_on_4_April_1986","Industrial Disputes Act, 1947"
9,C9_S6,13,Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,"Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979 | Kasturi_Lal_Lakshmi_Reddy_vs_State_Of_Jammu_And_Kashmir_Another_on_9_May_1980 | Ram_And_Shyam_Company_vs_State_Of_Haryana_And_Ors_on_8_May_1985 | Haji T.M. Hassan Rawther vs Kerala Financial Corporation on 17 November, 1987 | Akhil_Bhartiya_Upbhokta_Congress_vs_Staet_Of_M_P_Ors_on_6_April_2011",Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979
9,C9_S7,12,"Road Transport Corporation Act, 1950","Sri Ram Builders vs State Of M.P. & Ors on 25 April, 2014 | Delhi Development Authority vs Durga Chand Kaushish on 28 August, 1973 | State Of H.P & Ors vs Rajesh Chander Sood Etc Etc | Pepsu Road Transport Corp., Patiala vs Mangal Singh & Ors on 12 May, 2011 | N.K. Jain And Others vs C.K.Shah And Others on 26 March, 1991","Sri Ram Builders vs State Of M.P. & Ors on 25 April, 2014"
9,C9_S8,12,"Steel Authority Of India Ltd. & Ors. ... vs National Union Water Front Workers & Ors on 30 August, 2001","Steel Authority Of India Ltd. & Ors. ... vs National Union Water Front Workers & Ors on 30 August, 2001 | Lanco_Anpara_Power_Ltd_vs_State_Of_Uttar_Pradesh_And_Ors_on_18_October_2016 | Lal Mohammad And Ors vs Indian Railway Construction Co. Ltd And ... on 4 December, 1998 | Balwant Rai Saluja & Anr Etc.Etc vs Air India Ltd.& Ors | C_V_Raman_Etc_vs_Management_Of_Bank_Of_India_And_Another_on_21_April_1988","Steel Authority Of India Ltd. & Ors. ... vs National Union Water Front Workers & Ors on 30 August, 2001"
9,C9_S9,11,"L.I.C. Of India & Anr vs Consumer Education & Research Centre & ... on 10 May, 1995","L.I.C. Of India & Anr vs Consumer Education & Research Centre & ... on 10 May, 1995 | Life_Insurance_Corporation_Of_India_vs_Escorts_Ltd_Ors_on_19_December_1985 | State Of U.P. And Anr vs Johri Mal | United India Insurance Co. Ltd vs Manubhai Dharmasinhbhai Gajera & Ors | Jacob Punnen vs United India Insurance Co;Ltd on 9 December, 2021","L.I.C. Of India & Anr vs Consumer Education & Research Centre & ... on 10 May, 1995"
9,C9_misc,9,Padma Vs. Hiralal Motilal Desarda and Others,Padma Vs. Hiralal Motilal Desarda and Others | Uttaranchal Forest Development Corpn. ... vs Jabar Singh And Ors | U.P.S.R.T.C. Ltd vs Sarada Prasad Misra & Anr | Bank Vs. Neelam | The State Of Odisha vs Pratima Mohanty,Padma Vs. Hiralal Motilal Desarda and Others
10,C10_S0,22,"Board Of Control For Cricket, India & Anr vs Netaji Cricket Club & Ors","Board Of Control For Cricket, India & Anr vs Netaji Cricket Club & Ors | Govt. Of Nct Of Delhi Thr Secretary, Land ... vs M/S. K.L. Rathi Steels Ltd. . | Govt. Of Nct Of Delhi Thr. Its Secretary, ... vs M/S. K.L. Rathi Steels Ltd. on 17 May, 2024 | Parsion Devi and Ors.  v.  Sumitri Devi and Ors. | Sir Hari Shankar Paul, Kt. vs Kedar Nath Saha on 25 April, 1939","Govt. Of Nct Of Delhi Thr. Its Secretary, ... vs M/S. K.L. Rathi Steels Ltd. on 17 May, 2024"
10,C10_S1,16,"The Karnataka Land Reforms Act, 1961","R. Rudraiah & Anr vs State Of Karnataka & Ors on 4 February, 1998 | Corporation Of The City Of Bangalore vs B.T. Kampanna on 20 August, 1976 | Sri M. Sankaranarayanan vs The Deputy Commissioner, Bangalore & ... | Noor_Mohd_Khan_Ghouse_Khan_Soudagar_And_vs_Fakirappa_Bharmappa_Machenahalli_And_on_28_April_1978 | Fairgrowth Investments Ltd vs The Custodian",The KLR Act
10,C10_S2,15,"S.P. Chengalvaraya Naidu (Dead) By ... vs Jagannath (Dead) By L.Rs. And Others on 27 October, 1993","S.P. Chengalvaraya Naidu (Dead) By ... vs Jagannath (Dead) By L.Rs. And Others on 27 October, 1993 | Jai_Narain_Parasurampuria_Dead_Ors_vs_Pushpa_Devi_Saraf_Ors_on_24_August_2006 | Arunima Baruah vs Union Of India & Ors | Meghmala & Ors vs G.Narasimha Reddy & Ors | The State Of Andhra Pradesh & Anr vs T. Suryachandra Rao",Meghmala & Ors vs G.Narasimha Reddy & Ors
10,C10_S3,15,Kerala Land Reforms Act,"Gwalior Rayon Silk Mfg. (Wvg.) Co. Ltd vs Custodian Of Vested Forests Palghat And ... on 6 April, 1990 | Thankamony Amma vs Omana Amma N. | AIR 2009 SC 354 and Shyam Gopal Bindal and Others vs. Land Acquisition Officer and Another | State Of Kerala & Another vs Nilgiri Tea Estates Ltd on 12 October, 1987 | M.M. Thomas vs State Op Kerala And Anr on 6 January, 2000","A-The Kerala Private Forests (Vesting and Assignment) Act, 1971"
10,C10_S4,15,K.D. Sharma v. Steel Authority of India Ltd. and others,"Dalip Singh vs State Of U.P. & Ors | Ramjas Foundation & Ors vs Union Of India & Ors on 9 November, 2010 | G. Narayanaswamy Reddy (Dead) Byl.Rs. ... vs Govt. Of Karnataka And Anr on 29 April, 1991 | G.Jayashree & Ors vs Bhagwandas S.Patel & Ors | Oswal Fats And Oils Ltd vs Addl.Commnr.,Bareilly Division & Ors",K.D. Sharma v. Steel Authority of India Ltd. and others
10,C10_S5,13,State Of Karnataka vs Y.Moideen Kunhi(D) By Lrs. .,"State Of Karnataka vs Y.Moideen Kunhi(D) By Lrs. . | Section 63 in Karnataka Land Revenue Act, 1964 | The Karnataka Preservation Of Trees Act, 1976 | Section 64 in Karnataka Land Revenue Act, 1964 | Section 66 in Karnataka Land Revenue Act, 1964",State Of Karnataka vs Y.Moideen Kunhi(D) By Lrs. .
10,C10_S6,11,Shri Ram Sahu (Dead) Through Lrs vs Vinod Kumar Rawat,"Shri Ram Sahu (Dead) Through Lrs vs Vinod Kumar Rawat | State Of Jammu And Kashmir vs R.K. Zalpuri And Ors | S Tirupathi Rao vs M Lingamaiah on 22 July, 2024 | Haryana State Indusl.Devt.Corp.Ltd vs Mawasi & Ors.Etc.Etc on 2 July, 2012 | State Of Rajasthan And Anr vs Surendra Mohnot And Ors on 30 June, 2014",Shri Ram Sahu (Dead) Through Lrs vs Vinod Kumar Rawat
10,C10_S7,10,Palitana Sugar Mills Pvt. Ltd. & Anr vs State Of Gujarat & Ors,"Palitana Sugar Mills Pvt. Ltd. & Anr vs State Of Gujarat & Ors | State_Of_Gujarat_Anr_vs_Manoharsinhji_Pradyumansinhji_Jadeja_on_4_December_2012 | Patel Narshi Thakershi And Ors. vs Shri Pradyumansinghji Arjunsinghji on 2 March, 1970 | Rojasara Ramjibhai Dahyabhai vs Jani Narottamdas Lallubhai (Dead)By ... on 10 April, 1986 | Bhavan Vaja And Ors. vs Solanki Hanuji Khodaji Mansang And Anr. on 3 February, 1972",Gujarat Agricultural Lands Ceiling Act
10,C10_S8,9,"Kunhayammed & Ors vs State Of Kerala & Anr on 19 July, 2000","Kunhayammed & Ors vs State Of Kerala & Anr on 19 July, 2000 | Khoday Distilleries Ltd. (Now Khoday ... vs Sri Mahadeshwara Sahakara Sakkare ... | P. Singaravelan And Ors.Etc. Etc. vs District Collector, Tiruppur And Dt And ... | Rajesh_Mitra_Rajesh_Kumar_Mitra_vs_Karnani_Properties_Limited_on_20_September_2024 | Royal Medical Trust vs Union Of India","Kunhayammed & Ors vs State Of Kerala & Anr on 19 July, 2000"
10,C10_S9,8,T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors,"T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors | Nalakath_Sainuddin_vs_Koorikadan_Sulaiman_on_8_July_2002 | Kastha Niwarak Grahnirman Sahakari ... vs President, Indore Development ... | Rent Controller vs Shri Naresh Gupta | Pramod Kumar Jaiswal And Others vs Bibi Husn Bano & Ors",T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors
10,C10_misc,14,Surinder Singh vs. Kapoor Singh (Dead,"Surinder Singh vs. Kapoor Singh (Dead | S.S. Rathore vs State Of Madhya Pradesh on 6 September, 1989 | Kartar Singh vs Harjinder Singh And Others on 21 February, 1990 | State Of U.P vs Sheo Shanker Lal Srivastava & Ors | Madan_Gopal_Rungta_vs_Secretary_To_The_Government_Oforissa_on_16_March_1962",Surinder Singh vs. Kapoor Singh (Dead
11,C11_S0,31,Bharat Aluminium Co vs Kaiser Aluminium Technical ...,"Bharat Aluminium Co vs Kaiser Aluminium Technical ... | Enercon_India_Ltd_And_Ors_vs_Enercon_Gmbh_And_Anr_on_14_February_2014 | Thyssen Stahlunion Gmbh Etc vs Steel Authority Of India Ltd on 7 October, 1999 | Amazon_Com_Nv_Investment_Holdings_Llc_vs_Future_Retail_Limited_on_6_August_2021 | Pasl Wind Solutions Private Limited vs Ge Power Conversion India Private ...",Amazon_Com_Nv_Investment_Holdings_Llc_vs_Future_Retail_Limited_on_6_August_2021
11,C11_S1,27,Interest Act,"Secretary Irrigation Department ... vs G.C. Roy on 12 December, 1991 | State Of Madhya Pradesh vs M/S. Saith & Skelton (P) Ltd on 28 January, 1972 | Raipur Development Authority Etc. Etc vs Chokhamal Contractors Etc. Etc on 4 May, 1989 | Executive Engineer, Dhenkanal Minor ... vs N.C.Budharaj (Dead) By L.Rs.Etc.Etc on 10 January, 2001 | Union_Of_India_vs_A_L_Rallia_Ram_on_19_April_1963",Union_Of_India_vs_A_L_Rallia_Ram_on_19_April_1963
11,C11_S2,22,Vidya Drolia vs Durga Trading Corporation,"Vidya Drolia vs Durga Trading Corporation | Booz-Allen & Hamilton Inc vs Sbi Home Finance Ltd. & Ors on 15 April, 2011 | M/S Emaar Mgf Land Limited vs Aftab Singh | M/S N.N. Global Mercantile Private ... vs M/S Indo Unique Flame Ltd. | Pravin Electricals Pvt. Ltd vs Galaxy Infra And Engineering Pvt. Ltd. on 8 March, 2021",Vidya Drolia vs Durga Trading Corporation
11,C11_S3,20,"Delhi Development Authority vs M/S. R.S. Sharma & Co., New Delhi","Delhi Development Authority vs M/S. R.S. Sharma & Co., New Delhi | Renusagar Power Co. Ltd vs General Electric Co on 7 October, 1993 | Hindustan Zinc Ltd vs Friends Coal Carbonisation | Ssangyong Engineering And ... vs National Highways Authority Of ... | Delhi Airport Metro Express Pvt. Ltd. vs Delhi Metro Rail Corporation Ltd. on 9 September, 2021","Renusagar Power Co. Ltd vs General Electric Co on 7 October, 1993"
11,C11_S4,18,"Stamp Act, 1889","Garware Wall Ropers Ltd. vs Coastal Marine Constructions ... | M/S N.N. Global Mercantile Private ... vs M/S Indo Unique Flame Ltd. | Ashapura Mine-Chem Ltd vs Gujarat Mineral Devlopment ... on 16 April, 2015 | National Insurance Co. Ltd vs M/S. Boghara Polyfab Pvt.Ltd on 18 September, 2008 | M/S Sms Tea Estates P.Ltd vs M/S Chandmari Tea Co.P.Ltd on 20 July, 2011",M/S N.N. Global Mercantile Private ... vs M/S Indo Unique Flame Ltd.
11,C11_misc,28,Arbitration Act,"M/S. Centrotrade Minerals & Metal. Inc vs Hindustan Copper Ltd | Steel Authority Of India Limited vs J.C. Budharaja, Government And Mining ... on 1 September, 1999 | Mulamchand_vs_State_Of_Madhya_Pradesh_on_20_February_1968 | M/S. Entertainment Network (India) Ltd vs M/S. Super Cassettee Industries Ltd | Bharat Aluminium Co vs Kaiser Aluminium Technical ...",Arbitration Act
12,C12_S0,25,A to the Forest Act,"T.N. Godavarman Thirumulpad vs Union Of India & Ors on 6 July, 2011 | Rural Litigation & Entitlement Kendra vs State Of U.P on 30 August, 1988 | Forward_Construction_Co_Ors_Etc_Etc_vs_Prabhat_Mandal_Regd_Andheri_Ors_on_26_November_1985 | Northern_India_Caterers_India_Ltd_vs_Lt_Governor_Of_Delhi_on_21_December_1979 | Kantaru_Rajeevaru_vs_Indian_Young_Lawyers_Association_on_14_November_2019",A to the Forest Act
12,C12_S1,17,Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003,"Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003 | Balco Employees Union (Regd.) vs Union Of India & Ors on 10 December, 2001 | State Of Uttaranchal vs Balwant Singh Chaufal & Ors | State Of Madhya Pradesh & Ors vs Nandlal Jaiswal & Ors on 24 October, 1986 | Small Scale Industrial Manufacturers Association (Regd.) v. Union of India and others",State Of Uttaranchal vs Balwant Singh Chaufal & Ors
12,C12_S2,15,"The National Green Tribunal Act, 2010","The State Of Meghalaya vs All Dimasa Students Union Hasao ... | Himachal Pradesh Bus Stand Management ... vs The Central Empowered Committee on 12 January, 2021 | Jitendra Singh vs Ministry Of Environment | State Of Madhya Pradesh vs Centre For Environment Protection ... | Director General (Road Development) ... vs Aam Aadmi Lokmanch .",Jitendra Singh vs Ministry Of Environment
12,C12_S3,15,Bombay_Dyeing_Mfg_Co_Ltd_vs_Bombay_Environmental_Action_Group_Ors_on_7_March_2006,"Bombay_Dyeing_Mfg_Co_Ltd_vs_Bombay_Environmental_Action_Group_Ors_on_7_March_2006 | Narmada Bachao Andolan Vs.

      Union  of India | Intellectuals Forum, Tirupathi vs State Of A.P. & Ors | Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996 | M.C. Mehta vs Kamal Nath & Ors on 13 December, 1996","Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996"
12,C12_S4,13,"Indian Council For Enviro-Legal Action vs Union Of India & Ors on 18 July, 2011","Indian Council For Enviro-Legal Action vs Union Of India & Ors on 18 July, 2011 | S. Jagannath vs Union Of India & Ors on 11 December, 1996 | Dda vs M/S Kenneth Builders Developers Ltd. ... | Techi Tagi Tara vs Rajendra Singh Bhandari . | In Re : T.N. Godavarman Thirumulpad vs Union Of India And Ors.","Water (Prevention and Control of Pollution) Act, 1974"
12,C12_S5,12,"Contempt of Courts Act, 1952","Priya Gupta vs State Of Chhattisgarh & Ors on 8 May, 2012 | Maa Vaishno Devi Mahila Mahavidyalaya vs State Of U.P.& Ors on 13 December, 2012 | Rama Narang vs Ramesh Narang | Kanwar Singh Saini vs High Court Of Delhi on 23 September, 2011 | Chandigarh Administration & Anr vs Jasmine Kaur & Ors on 1 September, 2014","Contempt of Courts Act, 1952"
12,C12_S6,9,"Environment Act, 1986","Environment Act, 1986 | State Of Himachal Pradesh & Ors.Etc vs Ganesh Wood Products & Ors.Etc on 11 September, 1995 | Jal Mahal Resorts P.Ltd vs K.P.Sharma & Ors on 25 April, 2014 | The State Of Uttar Pradesh vs Uday Education And Welfare Trust | The State Of Himachal Pradesh vs Yogendra Mohan Sengupta","Environment Act, 1986"
12,C12_S7,8,Jagpal Singh & Ors vs State Of Punjab & Ors,"Jagpal Singh & Ors vs State Of Punjab & Ors | National Institute Of Medical Science ... vs State Of Rajasthan And Ors. | Rajasthan Land Revenue Act 1956 | Section 72 in The Jaipur Development Authority Act, 1982 | Abdul Rahman vs State (Panchayati Raj Dep )Ors",Jagpal Singh & Ors vs State Of Punjab & Ors
12,C12_misc,6,"2) Tayabbhai M. Bagasarwalla and Anr. Vs. Hind 
Rubber Industries Pvt. Ltd. & Ors.","2) Tayabbhai M. Bagasarwalla and Anr. Vs. Hind 
Rubber Industries Pvt. Ltd. & Ors. | Tamil Nadu Polution Control Board vs Sterlite Industries (I) Ltd. . | State of Punjab & Ors.. v. Gurdev Singh | Krishnadevi Malchand Kamathia & Ors vs Bombay Enviornmental Action Group.& ... | Board Of Trustees Of Port Of Kandla vs Hargovind Jasraj & Anr on 9 January, 2013",Tamil Nadu Polution Control Board vs Sterlite Industries (I) Ltd. .
13,C13_S0,29,Mahindra_Mahindra_Ltd_vs_Union_Of_India_Anr_on_24_January_1979,"Ujagar_Prints_Etc_vs_Union_Of_India_Ors_Etc_on_4_November_1988 | Gauri_Shankar_Gaur_And_Others_Etc_vs_State_Of_U_P_And_Others_on_12_August_1993 | Pt. Rishikesh And Anr. Etc vs Smt. Salma Begum Etc. Etc on 2 May, 1995 | Gauri_Shankar_vs_State_Of_U_P_on_12_August_1993 | New Central Jute Mills Co. Ltd vs The Assistant Collector Of Central ... on 8 September, 1970",Gauri_Shankar_vs_State_Of_U_P_on_12_August_1993
13,C13_S1,18,Prevention of Corruption Act,"Dr. Subramanian Swamy vs Dr. Manmohan Singh And Anr on 31 January, 2012 | R.S. Nayak vs A.R. Antulay & Anr on 17 April, 1986 | K_Veeraswami_vs_Union_Of_India_And_Others_on_25_July_1991 | P_V_Narasimha_Rao_vs_State_Cbi_Spe_on_17_April_1998 | R_S_Nayak_vs_A_R_Antulay_on_16_February_1984",Prevention of Corruption Act
13,C13_S2,17,Janata_Dal_vs_H_S_Chowdhary_And_Ors_on_28_August_1992,"Janata_Dal_vs_H_S_Chowdhary_And_Ors_on_28_August_1992 | State_Of_West_Bengal_Ors_vs_Swapan_Kumar_Guha_Ors_on_2_February_1982 | Neeharika Infrastructure Pvt. Ltd. v. State of Maharashtra and others | State Of Bihar Etc. Etc vs P.P. Sharma, Ias And Anr on 2 April, 1991 | State_Of_Bihar_And_Anr_vs_J_A_C_Saldanha_And_Ors_on_13_November_1979","Nara Chandrababu Naidu vs The State Of Andhra Pradesh on 16 January, 2024"
13,C13_S3,16,"State of Haryana and Ors. v. Ch. Bhajan Lal and Ors., J.T.","T.T.Antony vs State Of Kerala & Ors on 12 July, 2001 | Arun Bhandari vs State Of U.P.& Ors | Popular Muthiah vs State Represented By Inspector Of ... | Gian Singh vs State Of Punjab & Anr on 24 September, 2012 | R. Kalyani vs Janak C. Mehta & Ors","State of Haryana and Ors. v. Ch. Bhajan Lal and Ors., J.T."
