doc_id,case,community,subcommunity,out_citations,in_citations
382199,"Ziyauddin Burhanuddin Bukhari vs Brijmohan Ramdass Mehra & Ors on 25 April, 1975",0,0,2,10
82262912,"K.S. Paripoornan vs State Of Kerala on 12 September, 1994",0,0,8,5
85515763,Abhiram Singh vs C.D. Commachen (Dead) By Lrs.& Ors,0,0,22,5
505842,"Union Of India & Anr vs Raghubir Singh (Dead) By Lrs. Etc on 16 May, 1989",0,0,8,32
522381,"State Of Tamil Nadu vs Arooran Sugars Ltd on 31 October, 1996",0,0,4,4
176261373,"State Of Bihar & Anr vs Bal Mukund Sah & Ors on 14 March, 2000",0,0,5,3
1814791,"In Re The Delhi Laws Act, 1912,The ... vs The Part C States (Laws) Act, 1950 on 23 May, 1951",0,0,0,1
92846055,Shakti Vahini vs Union Of India,0,0,5,6
205909,"A. Sanjeevi Naidu Etc. Etc vs State Of Madras And Anr on 5 February, 1970",0,0,1,6
936707,"Indira Nehru Gandhi vs Shri Raj Narain & Anr on 7 November, 1975",0,0,24,46
183116,"Union Of India And Another Etc. Etc vs Zora Singh Etc. Etc on 22 November, 1991",0,0,1,3
52822922,"Dr M. Ismail Frauqui And Ors. vs Union Of India (Uoi) And Ors. on 24 October, 1994",0,0,8,2
701899,"Mothey Anja Ratna Raja Kumar vs Koney Narayana Rao And Ors. on 23 November, 1951",0,0,0,1
1145559,Kultar Singh vs Mukhtiar Singh on 17 April 1964,0,0,0,3
504006,"Dr. D.C. Wadhwa & Ors vs State Of Bihar & Ors on 20 December, 1986",0,0,1,7
141126788,"S.R. Bommai vs Union Of India on 11 March, 1994",0,0,18,15
1516805,1516805,0,0,4,0
811897,"Utkal Contractors & Joinery (P) Ltd. & ... vs State Of Orissa on 24 September, 1987",0,0,4,5
169274383,"Krishnamoorthy vs Sivakumar & Ors on 21 January, 2015",0,0,18,2
27274070,"B.R. Kapoor vs State Of Tamil Nadu And Anr on 21 September, 2001",0,0,3,6
37494799,"Dr. M. Ismail Faruqui Etc, Mohd. Aslam, ... vs Union Of India And Others on 24 October, 1994",0,0,8,11
56882156,"Anoop Baranwal vs Union Of India Ministry Of Law And ... on 2 March, 2023",0,0,33,0
584756,The New Jahangir Vakil Millsco Ltd vs The Commissioner Of Income Tax Bombay on 10 April 1963,0,0,0,1
1684649,"Rameshwar Dayal vs The State Of Punjab And Others on 5 December, 1960",0,0,0,2
1180101,"R.K. Jain vs Union Of India And Ors on 14 May, 1993",0,0,6,13
257876,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",0,0,49,78
189806642,"Jaishri Laxmanrao Patil vs The Chief Minister And Ors. on 5 May, 2021",0,0,47,5
1318432,"Rai Sahib Ram Jawaya Kapur And Ors. vs The State Of Punjab on 12 April, 1955",0,0,0,40
181443842,"Madras Bar Association vs Union Of India & Anr on 25 September, 2014",0,0,23,12
937486,"Durga Shankar Mehta vs Thakur Raghuraj Singh And Others on 19 May, 1954",0,0,1,21
1382698,"Shamsher Singh & Anr vs State Of Punjab on 23 August, 1974",0,0,3,14
570358,"Jetha Bai & Sons, Jew Town, Cochin, Etc. ... vs Sunderdas Rathenai, Etc. Etc on 4 February, 1988",0,0,1,1
1918928,"Monsanto Company By Their Patent Agent, ... vs Coramandal Indag Products (P) Ltd on 14 January, 1986",0,0,0,1
1903935,1903935,0,0,20,11
359668,"S.P. Sampath Kumar Etc vs Union Of India & Ors on 9 December, 1986",0,0,0,11
515544,"Khazia Mohammed Muzammil vs State Of Karnataka & Anr on 8 July, 2010",0,0,1,0
338008,"Selvi & Ors vs State Of Karnataka & Anr on 5 May, 2010",0,1,5,7
189192867,"State Of Bihar vs Kamla Kant Misra And Ors. on 29 October, 1969",0,1,2,2
169098295,63 Moons Technologies Ltd (Formerly ... vs Union Of India,0,1,20,0
120603172,State Of Himachal Pradesh vs Sanjay Kumar Alias Sunny,0,1,0,1
834589,"Makhan Singh vs State Of Punjab(And Connected Appeals) on 2 September, 1952",0,1,1,8
82461587,Anuradha Bhasin vs Union Of India,0,1,15,3
1921640,1921640,0,1,1,6
683475,"D. P. Mishra vs Kamal Narain Sharma & Ors on 18 December, 1970",0,1,1,0
31276692,"People'S Union Of Civil Liberties ... vs Union Of India (Uoi) And Anr. on 18 December, 1996",0,1,1,16
13080892,"Thwaha Fasal vs Union Of India on 28 October, 2021",0,1,3,1
194914590,"Umesh Kumar vs State Of A.P.And Anr on 6 September, 2013",0,1,11,10
175579179,Jeeja Ghosh & Anr vs Union Of India & Ors,0,1,0,7
761967,"Basheshar Nath vs The Commissioner Of Income-Tax,Delhi & ... on 19 November, 1958",0,1,4,16
910595,Poona City Municipal Corporation vs Dattatraya Nagesh Deodher on 5 May 1964,0,1,0,2
1813295,"M/S. Shantistar Builders vs Narayan Khimalal Totame And Others on 31 January, 1990",0,1,0,9
90984140,"Dropti Devi & Anr vs Union Of India & Ors on 2 July, 2012",0,1,9,1
1508089,"Bijoe Emmanuel & Ors vs State Of Kerala & Ors on 11 August, 1986",0,1,1,9
103640961,"Kaushal Kishor vs The State Of Uttar Pradesh Govt. Of U.P. ... on 3 January, 2023",0,1,46,0
1508889,"Arulayi Nadachi Selvi Ammal Nadachi ... vs Selvi Ammal Nadachi Maria Arulayi ... on 6 May, 1976",0,1,0,1
93771079,"Ramesh Baghel vs State Of Chhattisgarh on 27 January, 2025",0,1,2,0
816126,"Prem Nath Kaul vs The State Of Jammu & Kashmir on 2 March, 1959",0,1,0,3
39021018,"Manohar Lal Sharma vs Union Of India on 27 October, 2021",0,1,1,0
1150170,"Rajendrakumar Natvarlal Shah vs State Of Gujarat & Ors on 10 May, 1988",0,1,3,0
511537,"Harbans Singh Etc vs Guran Ditta Singh Etc on 20 February, 1991",0,1,0,1
1985056,"Magraj Patodia vs R. K. Birla And Ors on 10 September, 1970",0,1,0,4
83144198,Extra Judl.Exec.Victim Families ... vs Union Of India & Anr,0,1,10,2
179868451,Amish Devgan vs Union Of India,0,1,10,5
1880398,1880398,0,1,1,0
1857950,"A.K. Gopalan vs The State Of Madras.Union Of India: ... on 19 May, 1950",0,1,0,62
168671544,Navtej Singh Johar vs Union Of India Ministry Of Law And ...,0,1,27,7
116024620,Union Of India vs Moolchand Khairati Ram Trust,0,1,9,1
1687319,"Gora vs The State Of West Bengal on 11 December, 1974",0,1,0,1
