source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,103511,1399588,103511,Shamrock Oil & Gas Corp. v. Sheets,https://www.courtlistener.com/opinion/103511/shamrock-oil-gas-corp-v-sheets/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,333063,1399588,333063,"Francisco Villarreal v. Brown Express, Inc.",https://www.courtlistener.com/opinion/333063/francisco-villarreal-v-brown-express-inc/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,363743,1399588,363743,"John Baxter Butler, Administrator of the Estate of Agnes Adeline Butler, Deceased v. Billy N. Polk, Etc., United States Fidelity & Guaranty Co.",https://www.courtlistener.com/opinion/363743/john-baxter-butler-administrator-of-the-estate-of-agnes-adeline-butler/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,510980,1399588,9478099,"Donald J. Willy, and George A. Young v. The Coastal Corp., Coastal States Management Co., Inc., Defendants",https://www.courtlistener.com/opinion/510980/donald-j-willy-and-george-a-young-v-the-coastal-corp-coastal-states/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,1475511,1399588,1475511,York v. Horizon Federal Savings & Loan Ass'n,https://www.courtlistener.com/opinion/1475511/york-v-horizon-federal-savings-loan-assn/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,1517230,1399588,1517230,Sorrells v. Babcock,https://www.courtlistener.com/opinion/1517230/sorrells-v-babcock/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,1477304,1399588,1477304,Richardson Ex Rel. Rogers v. Southwest Mississippi Regional Medical Center,https://www.courtlistener.com/opinion/1477304/richardson-ex-rel-rogers-v-southwest-mississippi-regional-medical-center/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,9012748,1399588,9005699,Baber v. Hospital Corp. of America,https://www.courtlistener.com/opinion/9012748/baber-v-hospital-corp-of-america/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,596522,1399588,596522,Buchner v. F.D.I.C.,https://www.courtlistener.com/opinion/596522/buchner-v-fdic/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,5656,1399588,5656,Jernigan v. Ashland Oil Inc.,https://www.courtlistener.com/opinion/5656/jernigan-v-ashland-oil-inc/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,7027924,1399588,6929682,King v. Ahrens,https://www.courtlistener.com/opinion/7027924/king-v-ahrens/
courtlistener,1399588,1399588,Patterson v. Hamrick,1995,https://www.courtlistener.com/opinion/1399588/patterson-v-hamrick/,1687546,1399588,1687546,Lane v. Calhoun-Liberty County Hosp. Ass'n Inc.,https://www.courtlistener.com/opinion/1687546/lane-v-calhoun-liberty-county-hosp-assn-inc/
