source,target,weight
1105428,1392212,1
1105428,1750663,1
751891,494297,1
751891,1261287,1
1574616,1870386,1
173516,946004,1
173516,378583,1
197048,132533,1
197048,732821,1
83318,283660,1
1008545,41868,1
1008545,629631,1
1291316,1266379,1
1291316,1683423,1
1291316,506242,1
1291316,608874,1
1291316,1629177,1
1291316,1519712,1
1291316,725224,1
1291316,334293,1
1465716,1215355,1
1679391,684433,1
531278,22929,1
1156375,1141020,1
937486,653417,1
1543138,1599768,1
1564016,983794,1
12575,1750663,1
12575,635617,1
374494,1838105,1
374494,12575,1
374494,635617,1
1273771,687712,1
673500,752151,1
673500,732516,1
673500,732276,1
673500,1619422,1
1641860,653417,1
38328,4354,1
251861,41868,1
414792,761967,1
414792,811277,1
414792,1481962,1
414792,732516,1
414792,1063853,1
946004,378583,1
1457646,204111,1
752151,1470235,1
1590667,80596,1
1590667,732516,1
1590667,1249510,1
1590667,1063853,1
1981888,208309,1
1619422,1141020,1
693505,1815080,1
693505,1306519,1
693505,1790076,1
811277,944601,1
811277,1481962,1
811277,732516,1
1050499,312511,1
405635,1800386,1
405635,734117,1
553385,1450722,1
184660633,4354,1
184660633,334293,1
184660633,1857950,1
361353,1786180,1
35558,823328,1
1336402,1214175,1
1656595,1750663,1
734117,1681654,1
734117,512619,1
1898146,1786180,1
387276,1954356,1
387276,1599768,1
387276,653417,1
387276,937486,1
722472,1349137,1
722472,1652416,1
722472,481866,1
1119872,1124131,1
551145,698518,1
219225,1886356,1
1166220,107472,1
1166220,941160,1
92499,1450722,1
328927,1431786,1
328927,1660833,1
328927,554839,1
1681654,653417,1
176568,1029264,1
176568,1425329,1
1386765,20086,1
286982,41868,1
1414177,45759,1
891756,568069,1
891756,212098,1
891756,1857950,1
891756,40472258,1
891756,33396,1
891756,554839,1
891756,973363,1
891756,283660,1
891756,4354,1
891756,334293,1
891756,184660633,1
891756,1949862,1
891756,1063853,1
891756,1249510,1
891756,981675,1
891756,1683667,1
1750208,204111,1
1199724,1465149,1
635142,4354,1
1395167,1097199,1
1753624,1685938,1
1908762,1750663,1
126467,1097199,1
1172969,1540511,1
1743548,635617,1
1890797,318186,1
1890797,1778243,1
167521097,1855966,1
9285,1253855,1
9285,219225,1
9285,41868,1
871138,973363,1
871138,41868,1
871138,334293,1
1266379,1072049,1
1778243,318186,1
1124131,1599768,1
44352,107472,1
44352,837708,1
44352,1463433,1
44352,1590667,1
1431786,973363,1
1431786,283660,1
1431786,570453,1
1431786,761967,1
1431786,1857950,1
1431786,4354,1
1431786,1276331,1
1431786,554839,1
1933483,1781810,1
1933483,973363,1
1933483,1157189,1
1933483,554839,1
84946,1225694,1
1820212,1193965,1
761967,1063853,1
761967,1683423,1
761967,212098,1
761967,1857950,1
493883,1249510,1
1540511,480602,1
1540511,1450722,1
1786180,1063853,1
294497,1063853,1
1781810,384084,1
1781810,1157189,1
1750663,629631,1
1750663,1392212,1
1750663,1890860,1
1750663,41868,1
1750663,45759,1
1428293,501766,1
1428293,126467,1
1838105,12575,1
472343,948743,1
472343,844274,1
472343,124022295,1
1157189,554839,1
1157189,973363,1
1157189,1857950,1
1157189,981675,1
1157189,334293,1
1157189,725224,1
1157189,212098,1
1157189,40472258,1
1157189,33396,1
1157189,283660,1
1157189,4354,1
1157189,184660633,1
1157189,1949862,1
1157189,1063853,1
1157189,1249510,1
1157189,1683667,1
570453,1683423,1
570453,334293,1
570453,283660,1
570453,4354,1
570453,33396,1
570453,973363,1
570453,1890860,1
775246,41868,1
775246,629631,1
60443377,973363,1
60443377,41868,1
60443377,334293,1
1193965,1459730,1
1193965,554839,1
334293,4354,1
251775,1467661,1
251775,970796,1
1961189,725224,1
621517,1685938,1
1776469,653417,1
1776469,1815080,1
847770,770422,1
1090657,1961189,1
99090701,608874,1
99090701,334293,1
1047349,1590667,1
1047349,941160,1
494297,1097199,1
1683423,334293,1
1683423,1786180,1
1010490,1273982,1
698518,970796,1
698518,1467661,1
506242,608874,1
506242,204111,1
506242,1371375,1
1519712,117343175,1
834589,1857950,1
368269,1450722,1
368269,568069,1
1062916,621517,1
1396529,911300,1
1396529,1886356,1
1396529,1072049,1
1946771,153927235,1
111109,554839,1
111109,948743,1
1307370,1820633,1
574198,608874,1
574198,1848179,1
574198,1629177,1
574198,1266379,1
26511,1097199,1
26511,1063853,1
