source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,8681232,8664270,"Dupont v. Winchester Medical Center, Inc.",1994,https://www.courtlistener.com/opinion/8681232/dupont-v-winchester-medical-center-inc/,110374,8664270,9428127,Upjohn Co. v. United States,https://www.courtlistener.com/opinion/110374/upjohn-co-v-united-states/
courtlistener,8681232,8664270,"Dupont v. Winchester Medical Center, Inc.",1994,https://www.courtlistener.com/opinion/8681232/dupont-v-winchester-medical-center-inc/,1356120,8664270,9598130,Naccash v. Burger,https://www.courtlistener.com/opinion/1356120/naccash-v-burger/
courtlistener,8681232,8664270,"Dupont v. Winchester Medical Center, Inc.",1994,https://www.courtlistener.com/opinion/8681232/dupont-v-winchester-medical-center-inc/,1323111,8664270,1323111,Cheatle v. Rudd's Swimming Pool Supply Co.,https://www.courtlistener.com/opinion/1323111/cheatle-v-rudds-swimming-pool-supply-co/
courtlistener,8681232,8664270,"Dupont v. Winchester Medical Center, Inc.",1994,https://www.courtlistener.com/opinion/8681232/dupont-v-winchester-medical-center-inc/,1304345,8664270,9569493,RF & P CORP. v. Little,https://www.courtlistener.com/opinion/1304345/rf-p-corp-v-little/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,3596243,5977145,3577375,Prudential Insurance Co. of America v. Stone,https://www.courtlistener.com/opinion/3596243/prudential-insurance-co-of-america-v-stone/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,5987882,5977145,5848382,Connell v. Hayden,https://www.courtlistener.com/opinion/5987882/connell-v-hayden/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,5987884,5977145,5848384,Paciello v. Patel,https://www.courtlistener.com/opinion/5987884/paciello-v-patel/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,5686968,5977145,5536065,Markoff v. South Nassau Community Hospital,https://www.courtlistener.com/opinion/5686968/markoff-v-south-nassau-community-hospital/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,5687810,5977145,5536965,Kanter v. Schlecker,https://www.courtlistener.com/opinion/5687810/kanter-v-schlecker/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,6019722,5977145,5882224,Scheff v. St. John's Episcopal Hospital,https://www.courtlistener.com/opinion/6019722/scheff-v-st-johns-episcopal-hospital/
courtlistener,6112315,5977145,Scialo v. Gass,1994,https://www.courtlistener.com/opinion/6112315/scialo-v-gass/,5688699,5977145,5537893,Raschel v. Rish,https://www.courtlistener.com/opinion/5688699/raschel-v-rish/
