source,target
698693,1481209
584756,1879530
584756,1047352
867890,823573
264907,459058
1799890,212098
1799890,4354
90534076,525017
90534076,20909926
90534076,1477080
90534076,62933588
90534076,97365940
1961694,318186
1961694,1989300
1961694,1089973
1961694,1477080
1961694,132533
1961694,525017
1802930,1536600
638153,458126
156898,786280
156898,1270498
156898,248221
195129,1855680
195129,278608
195129,114447
1802788,932898
1802788,71219
67973,617376
67973,1252014
1980640,9285
1119697,779466
1119697,1111945
1119697,812162
1119697,57569
1119697,1748541
1119697,216588
1119697,1839416
1119697,765276
1119697,1865392
1119697,1430457
1728272,1642714
1728272,1869901
1728272,1830116
1728272,1607569
781706,897386
781706,1840079
781706,735912
911769,653417
911769,937486
911769,1019036
911769,387276
911769,1954356
911769,568069
1019036,1961189
1365068,1583336
1365068,659492
1365068,1755232
1365068,185364
1365068,86731
331896,334320
331896,1066650
278509,204111
278509,1334665
278509,604945
278509,494408
278509,4772
133237,664831
664831,763221
1043522,1521116
1043522,1174163
1043522,1494116
1043522,1756591
89799,696952
89799,193061
89799,1346176
89799,1482261
89799,1389818
1752222,861817
1752222,611046
1752222,717786
1752222,327086
1752222,1126538
1752222,544929
1752222,928208
1752222,1298255
1752222,999709
1298255,1481962
1298255,811277
1298255,1776911
1298255,414792
1298255,933844
1298255,1992789
1298255,1495268
1298255,996317
388598,748727
1270973,1770635
1270973,442162
1270973,878592
1270973,464994
1270973,142469
823444,523634
823444,739996
823444,1113996
823444,1401130
823444,866820
823444,159485
885614,1443657
885614,1412167
465621,846264
1703983,967815
1231443,1340429
1231443,678245
1231443,1464523
1231443,1526534
117326,823328
117326,95311
117326,849004
117326,1401935
117326,1084306
117326,398051
1327181,1527538
1327181,1973273
300789,1624744
300789,1093824
300789,1011716
300789,595781
1793493,1230112
1793493,1662054
1793493,1868070
1793493,117326
835941,925561
835941,690762
835941,129978
835941,493907
1569478,1809667
1569478,1201669
1569478,1009696
1569478,125240
1569478,1425329
1569478,654715
1569478,766564
1569478,1031512
1569478,1681116
1569478,1326807
1569478,473248
1569478,488329
1569478,912663
1569478,1249893
1198061,535796
1198061,802260
379438,398089
379438,1032889
21773,865455
331743,1924452
331743,299175
331743,1033901
331743,877823
1340641,207524
1340641,5651
1340641,512505
1573752,104956
185964,242776
1481910,944601
1481910,1483878
963091,862635
963091,1873221
1798395,926263
1798395,488313
1550957,1857003
1550957,85668
495668,206301
495668,150165
495668,1040413
495668,306522
495668,812283
495668,1130721
26752,1483878
26752,1756009
26752,56685916
26752,1017657
26752,909847
1199558,887227
1199558,1425944
1199558,1765956
157067,1810351
157067,1930596
157067,1053912
95288,1117535
95288,1327862
95288,1340595
95288,905659
95288,776903
95288,175472
95288,322427
95288,1113996
1145559,1797006
23411,1916227
391476,1139389
146960,1064251
146960,1701348
146960,1971797
146960,1174604
146960,849793
1860126,710086
1860126,1603423
1860126,377653
1860126,1316570
1860126,52225
1860126,1059663
1782633,574198
1782633,1139389
1782633,1629177
1782633,1523491
1782633,608874
1782633,734547
1713965,1490310
1713965,461922
1713965,876434
1679568,1719430
1913453,1112212
1913453,673500
358754,1296390
514063,1666438
514063,489545
1155281,236012
1155281,922786
1155281,219404
1531467,236012
1531467,922786
1531467,219404
50400,429474
50400,906284
1928579,1592315
424370,1126318
424370,124560
424370,328927
424370,1582363
1093228,1668463
1093228,1532372
1093228,948572
522567,738396
522567,898639
522567,1598424
522567,585315
522567,1679904
492177,1598424
492177,738396
492177,1679904
492177,585315
492177,898639
1168625,435767
971550,664032
971550,1409676
1166174,1222961
1166174,1218527
1166174,424874
1521043,37832
1521043,1954356
1521043,1144327
1521043,111867
1021932,363217
1021932,1707388
1021932,1644277
1963083,472523
1963083,126760
1963083,1307318
1963083,911064
1155563,781858
1155563,1913766
1155563,494297
1155563,19878
1155563,127453
1155563,26511
1155563,1261287
19878,781858
19878,374494
19878,635617
19878,12575
19878,1261287
19878,494297
19878,189372
19878,612604
19878,687712
19878,1358408
19878,1838105
855583,684379
855583,793106
1928029,177799
1928029,1891723
1928029,1547137
1113126,899400
1113126,1160307
1113126,1028314
1113126,1742283
675387,124148
1904067,453733
1904067,578641
1904067,128548
1904067,927415
1904067,1756621
1308308,1857950
1308308,1706770
91068,1412894
692533,1032035
692533,1290398
692533,1629177
692533,1037973
692533,1432065
1948618,208309
1589788,230181
305241,403127
305241,703390
305241,1419174
305241,75941
1403823,1065357
1403823,1656691
944747,1654408
504407,533479
588155,1029248
588155,110303
588155,596224
724639,1320443
724639,1441749
724639,1445147
1726974,127453
1561861,1204286
1561861,1008845
1561861,922783
1561861,1154805
1897035,1201690
1897035,1177057
1897035,1289663
538117,1630848
538117,1457646
538117,1053167
538117,1799890
538117,1781810
538117,1597369
538117,673012
538117,1019036
538117,701027
538117,1750663
538117,1481778
538117,1865685
503880,1031512
503880,916940
503880,485533
193323,755574
1760015,786280
1760015,1270498
1760015,248221
228570,901302
228570,1595107
228570,582733
228570,1183314
228570,1933483
372465,841758
372465,1294056
372465,908527
372465,519726
372465,1209054
372465,506712
872053,1479218
872053,1431341
872053,1544260
872053,1092209
872053,623990
872053,1375890
1795477,525656
1795477,1178073
1135377,563752
1038664,1512543
1038664,1522808
1038664,1066089
1038664,626603
1038664,1266434
1038664,1840988
1038664,193061
1038664,1743618
1038664,1107536
1777946,7522
1167532,259610
1167532,349194
1286314,259610
1286314,349194
507283,170625
507283,265118
826254,238825
826254,1881934
826254,1705992
476226,1667776
476226,1320443
476226,1418385
405349,1009966
1650872,858595
1214360,525955
1381806,1418357
1381806,1859058
1381806,1182818
330386,1414177
330386,873220
1563293,847997
