source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,5824990,5680637,Contarino v. North Shore University Hospital,2004,https://www.courtlistener.com/opinion/5824990/contarino-v-north-shore-university-hospital/,6126003,5680637,5991107,D'Agostino v. Chersevani,https://www.courtlistener.com/opinion/6126003/dagostino-v-chersevani/
courtlistener,5824990,5680637,Contarino v. North Shore University Hospital,2004,https://www.courtlistener.com/opinion/5824990/contarino-v-north-shore-university-hospital/,6136821,5680637,6002115,DiPietro v. Duhl,https://www.courtlistener.com/opinion/6136821/dipietro-v-duhl/
courtlistener,5824990,5680637,Contarino v. North Shore University Hospital,2004,https://www.courtlistener.com/opinion/5824990/contarino-v-north-shore-university-hospital/,6174030,5680637,6039943,Tirone v. Staten Island University Hospital,https://www.courtlistener.com/opinion/6174030/tirone-v-staten-island-university-hospital/
courtlistener,5824990,5680637,Contarino v. North Shore University Hospital,2004,https://www.courtlistener.com/opinion/5824990/contarino-v-north-shore-university-hospital/,6213817,5680637,6080426,Anonymous v. Anonymous,https://www.courtlistener.com/opinion/6213817/anonymous-v-anonymous/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,103923,6490601,103923,Tennant v. Peoria & Pekin Union Railway Co.,https://www.courtlistener.com/opinion/103923/tennant-v-peoria-pekin-union-railway-co/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,3412651,6490601,3407834,Carr v. Kinney,https://www.courtlistener.com/opinion/3412651/carr-v-kinney/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,1170688,6490601,9546678,Petersen Ex Rel. Petersen v. City & County of Honolulu,https://www.courtlistener.com/opinion/1170688/petersen-ex-rel-petersen-v-city-county-of-honolulu/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,343643,6490601,343643,"Roger Charter, Individually and as Assignee v. William J. Chleborad, M.D.",https://www.courtlistener.com/opinion/343643/roger-charter-individually-and-as-assignee-v-william-j-chleborad-md/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,2050307,6490601,2050307,Johns Hopkins Hospital v. Lehninger,https://www.courtlistener.com/opinion/2050307/johns-hopkins-hospital-v-lehninger/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,1644176,6490601,1644176,Strain v. Heinssen,https://www.courtlistener.com/opinion/1644176/strain-v-heinssen/
courtlistener,6614309,6490601,Cenal v. Ragunton,2004,https://www.courtlistener.com/opinion/6614309/cenal-v-ragunton/,1190415,6490601,1190415,"Amfac, Inc. v. Waikiki Beachcomber Investment Co.",https://www.courtlistener.com/opinion/1190415/amfac-inc-v-waikiki-beachcomber-investment-co/
