case,source_doc_id,title,court,date,numcites_api,numcitedby_api,citations_count,error
Indore_Vikas_Praadhikaran_Ida_vs_Shri_Humud_Jain_Samaj_Trust_on_25_November_2024,137047196,"Indore Vikas Praadhikaran (Ida) vs Shri Humud Jain Samaj Trust on 25 November, 2024",Supreme Court of India,2024-11-25,15,0,15,
Indrakashi_Devi_vs_The_State_Of_Karnataka_on_10_December_2024,174153374,"Indrakashi Devi vs The State Of Karnataka on 10 December, 2024",Supreme Court of India,2024-12-10,12,0,12,
Jagmohan_vs_Badri_Nath_Kohli_Dead_Thr_Lrs_on_6_February_2024,25122636,"Jagmohan vs Badri Nath Kohli (Dead) Thr. Lrs. on 6 February, 2024",Supreme Court of India,2024-02-06,17,0,17,
Jaydeepsinh_Pravinsinh_Chavda_vs_The_State_Of_Gujarat_on_10_December_2024,122333031,"Jaydeepsinh Pravinsinh Chavda vs The State Of Gujarat on 10 December, 2024",Supreme Court of India,2024-12-10,15,0,15,
Joginder_Singh_Dead_Thr_Lrs_vs_Dr_Virinderjit_Singh_Gill_Dead_Thr_on_17_October_2024,24167527,"Joginder Singh (Dead) Thr. Lrs vs Dr. Virinderjit Singh Gill (Dead) Thr. ... on 17 October, 2024",Supreme Court of India,2024-10-17,32,0,32,
Just_Rights_For_Children_Alliance_vs_S_Harish_on_23_September_2024,37078038,"Just Rights For Children Alliance vs S. Harish on 23 September, 2024",Supreme Court of India,2024-09-23,115,0,115,
K_Bharathi_Devi_vs_The_State_Of_Telangana_on_3_October_2024,179779353,"K. Bharathi Devi vs The State Of Telangana on 3 October, 2024",Supreme Court of India,2024-10-03,24,0,24,
K_P_Khemka_vs_Haryana_State_Industrial_And_on_8_May_2024,127870754,"K.P. Khemka vs Haryana State Industrial And ... on 8 May, 2024",Supreme Court of India,2024-05-08,35,0,35,
Kailashben_Mahendrabhai_Patel_vs_The_State_Of_Maharashtra_on_25_September_2024,129761998,"Kailashben Mahendrabhai Patel vs The State Of Maharashtra on 25 September, 2024",Supreme Court of India,2024-09-25,32,0,32,
Kali_Charan_vs_The_State_Of_Uttar_Pradesh_on_26_November_2024,153200939,"Kali Charan vs The State Of Uttar Pradesh on 26 November, 2024",Supreme Court of India,2024-11-26,28,0,28,
Karikho_Kri_vs_Nuney_Tayang_on_9_April_2024,193547441,"Karikho Kri vs Nuney Tayang on 9 April, 2024",Supreme Court of India,2024-04-09,42,0,42,
Karnail_Singh_vs_State_Of_Haryana_Through_Secretary_To_on_16_May_2024,191739450,"Karnail Singh vs State Of Haryana Through Secretary To ... on 16 May, 2024",Supreme Court of India,2024-05-16,42,0,42,
Kaushik_Premkumar_Mishra_vs_Kanji_Ravaria_Kanji_on_19_July_2024,107394647,"Kaushik Premkumar Mishra vs Kanji Ravaria @ Kanji on 19 July, 2024",Supreme Court of India,2024-07-19,35,0,35,
Kazi_Akiloddin_vs_State_Of_Maharashtra_on_10_July_2024,152133091,"Kazi Akiloddin vs State Of Maharashtra on 10 July, 2024",Supreme Court of India,2024-07-10,38,0,38,
Khalsa_University_vs_The_State_Of_Punjab_on_3_October_2024,91148321,"Khalsa University vs The State Of Punjab on 3 October, 2024",Supreme Court of India,2024-10-03,33,0,33,
Kiran_Jyot_Maini_vs_Anish_Pramod_Patel_on_15_July_2024,12543220,"Kiran Jyot Maini vs Anish Pramod Patel on 15 July, 2024",Supreme Court of India,2024-07-15,22,0,22,
Kolkata_Municipal_Corporation_vs_Bimal_Kumar_Shah_on_16_May_2024,11565482,"Kolkata Municipal Corporation vs Bimal Kumar Shah on 16 May, 2024",Supreme Court of India,2024-05-16,102,0,102,
