parent_community,subcommunity_id,size,top_label,top_global_pr,top5_labels,avg_in_degree,top_betweenness_label
8,C8_S25.0,4,"Shyam Kishore And Others vs Municipal Corporation Of Delhi And ... on 3 September, 1992",9.122e-05,"Shyam Kishore And Others vs Municipal Corporation Of Delhi And ... on 3 September, 1992 | Anant Mills Co. Ltd vs State Of Gujarat & Ors on 21 January, 1975 | Income_Tax_Officer_vs_M_K_Mohammed_Kunhi_on_11_September_1968 | The Gujarat Agro Industries Co. Ltd vs Municipal Corporation Of City Of ... on 26 April, 1999",7.8,"Anant Mills Co. Ltd vs State Of Gujarat & Ors on 21 January, 1975"
8,C8_S26.0,4,"S. Thangappan vs P. Padmavathy on 24 August, 1999",8.182e-05,"S. Thangappan vs P. Padmavathy on 24 August, 1999 | Life Insurance Corporation Of India vs India Automobiles And Co. And Ors on 1 August, 1990 | Tribhuvanshankar vs Amrutlal | Om Prakash And Anr vs Mishri Lal (Dead) Rep. By His Lr. Savitri ...",1.0,"S. Thangappan vs P. Padmavathy on 24 August, 1999"
8,C8_S11.0,3,General_Radio_Appliances_Co_Ltd_Ors_vs_M_A_Khader_Dead_By_Lrs_on_17_April_1986,4.949e-05,General_Radio_Appliances_Co_Ltd_Ors_vs_M_A_Khader_Dead_By_Lrs_on_17_April_1986 | Suraj_Ratan_Thirani_Ors_vs_The_Azamabad_Tea_Co_Ors_on_13_January_1964 | Parasram_Harnand_Rao_vs_Shanti_Prasad_Narinder_Kumar_Jain_Anr_on_10_April_1980,2.0,Parasram_Harnand_Rao_vs_Shanti_Prasad_Narinder_Kumar_Jain_Anr_on_10_April_1980
8,C8_S14.0,3,"Mohan Lal vs Jai Bhagwan on 23 March, 1988",1.457e-05,"Mohan Lal vs Jai Bhagwan on 23 March, 1988 | Gurdial Batra vs Raj Kumar Jain on 18 July, 1989 | M. Arul Jothi & Anr. vs Lajja Bal (Deceased) & Anr. on 29 February, 2000",1.7,"Mohan Lal vs Jai Bhagwan on 23 March, 1988"
8,C8_S20.0,3,Union_Of_India_vs_City_Municipal_Council_Bellary_on_8_September_1978,3.8e-06,Union_Of_India_vs_City_Municipal_Council_Bellary_on_8_September_1978 | Lucknow_Nagar_Nigam_vs_Kohli_Brothers_Colour_Lab_Pvt_Ltd_on_22_February_2024 | Food_Corporation_Of_India_vs_Brihanmumbai_Mahanagar_Palika_on_19_March_2020,0.7,Union_Of_India_vs_City_Municipal_Council_Bellary_on_8_September_1978
8,C8_S24.0,3,"Laxmikant Revchand Bhojwani And Anr vs Pratapsing. Mohansingh Pardeshi ... on 18 September, 1995",1.45e-05,"Laxmikant Revchand Bhojwani And Anr vs Pratapsing. Mohansingh Pardeshi ... on 18 September, 1995 | Nibaran_Chandra_Bag_Etc_vs_Mahendra_Nath_Ghughu_on_28_November_1962 | State Of Haryana & Ors vs Manoj Kumar",1.3,"Laxmikant Revchand Bhojwani And Anr vs Pratapsing. Mohansingh Pardeshi ... on 18 September, 1995"
8,C8_S4.0,2,"Shri Janki Devi Bhagat Trust, Agra vs Ram Swarup Jain (Dead) By Lrs on 14 August, 1995",4e-06,"Shri Janki Devi Bhagat Trust, Agra vs Ram Swarup Jain (Dead) By Lrs on 14 August, 1995 | Samir Mukherjee vs Davinder K. Bajaj & Ors on 18 April, 2001",1.0,"Shri Janki Devi Bhagat Trust, Agra vs Ram Swarup Jain (Dead) By Lrs on 14 August, 1995"
8,C8_S7.0,2,"Rama Rao And Anr. vs Narayan And Anr. on 20 December, 1968",3.703e-05,"Rama Rao And Anr. vs Narayan And Anr. on 20 December, 1968 | Lalji_Haridas_vs_State_Of_Maharashtra_And_Another_on_7_February_1964",1.5,"Rama Rao And Anr. vs Narayan And Anr. on 20 December, 1968"
8,C8_S9.0,2,National_Textile_Corp_Ltd_vs_Nareshkumar_Badrikumar_Jagad_Ors_on_5_September_2011,3.94e-06,National_Textile_Corp_Ltd_vs_Nareshkumar_Badrikumar_Jagad_Ors_on_5_September_2011 | State_Of_Punjab_Ors_vs_Raja_Ram_Ors_on_29_January_1981,3.0,National_Textile_Corp_Ltd_vs_Nareshkumar_Badrikumar_Jagad_Ors_on_5_September_2011
8,C8_S15.0,2,Raja_Mohammad_Amir_Ahmad_Khan_vs_Municipal_Board_Of_Sitapur_And_Anr_on_3_December_1964,2.259e-05,"Raja_Mohammad_Amir_Ahmad_Khan_vs_Municipal_Board_Of_Sitapur_And_Anr_on_3_December_1964 | Keshar Bai vs Chhunulal on 7 January, 2014",1.5,Raja_Mohammad_Amir_Ahmad_Khan_vs_Municipal_Board_Of_Sitapur_And_Anr_on_3_December_1964
8,C8_S16.0,2,"Faqir Chand vs Shri Ram Rattan Bhanot on 30 January, 1973",2.04e-05,"Faqir Chand vs Shri Ram Rattan Bhanot on 30 January, 1973 | Shri Munshi Ram & Anr vs Union Of India & Ors on 10 August, 2000",1.5,"Faqir Chand vs Shri Ram Rattan Bhanot on 30 January, 1973"
8,C8_S19.0,2,Vasant_Pratap_Pandit_vs_Dr_Anant_Trimbak_Sabnis_on_12_April_1994,3.77e-06,Vasant_Pratap_Pandit_vs_Dr_Anant_Trimbak_Sabnis_on_12_April_1994 | Gaiv Dinshaw Irani & Ors vs Tehmtan Irani & Ors,0.5,Vasant_Pratap_Pandit_vs_Dr_Anant_Trimbak_Sabnis_on_12_April_1994
8,C8_S21.0,2,"Pankaj Bhargava And Anr vs Mohinder Nath And Anr on 11 December, 1990",4.04e-06,"Pankaj Bhargava And Anr vs Mohinder Nath And Anr on 11 December, 1990 | Mohan Singh vs Late Amer Singh Thr. The Lrs on 1 September, 1998",0.5,"Pankaj Bhargava And Anr vs Mohinder Nath And Anr on 11 December, 1990"
8,C8_S22.0,2,"Sankaranarayanan Potti (Dead) By L.Rs vs K. Sreedevi & Ors on 26 March, 1998",3.97e-06,"Sankaranarayanan Potti (Dead) By L.Rs vs K. Sreedevi & Ors on 26 March, 1998 | Thomas Antony vs Varkey Varkey on 15 November, 1999",0.5,"Sankaranarayanan Potti (Dead) By L.Rs vs K. Sreedevi & Ors on 26 March, 1998"
8,C8_S27.0,2,Shyamaraju_Hegde_vs_U_Venkatesha_Bhat_Ors_on_25_September_1987,3.74e-06,"Shyamaraju_Hegde_vs_U_Venkatesha_Bhat_Ors_on_25_September_1987 | Jetha Bai & Sons, Jew Town, Cochin, Etc. ... vs Sunderdas Rathenai, Etc. Etc on 4 February, 1988",1.0,Shyamaraju_Hegde_vs_U_Venkatesha_Bhat_Ors_on_25_September_1987
8,C8_S28.0,2,Mangilal_vs_Suganchand_Rathi_on_24_October_1963,5.02e-06,"Mangilal_vs_Suganchand_Rathi_on_24_October_1963 | Burmah Shell Oil Distributing Now Known ... vs Khaja Midhat Noor And Others on 3 May, 1988",1.0,Mangilal_vs_Suganchand_Rathi_on_24_October_1963
8,C8_S29.0,2,"Mumbai International Airport P.Ltd vs M/S Golden Chariot Airport & Anr on 22 September, 2010",4.13e-06,"Mumbai International Airport P.Ltd vs M/S Golden Chariot Airport & Anr on 22 September, 2010 | Orissa Industrial Infra.Dev. ... vs M/S Mesco Kalinga Steel Ltd. & Ors",2.0,"Mumbai International Airport P.Ltd vs M/S Golden Chariot Airport & Anr on 22 September, 2010"
