source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,5996335,5957689,5857425,Friedman v. Meyer,https://www.courtlistener.com/opinion/5996335/friedman-v-meyer/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,6007091,5957689,5869051,Tebbutt v. Virostek,https://www.courtlistener.com/opinion/6007091/tebbutt-v-virostek/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,6009512,5957689,5871651,Farago v. Shulman,https://www.courtlistener.com/opinion/6009512/farago-v-shulman/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,6023013,5957689,5885643,Wittrock v. Maimonides Medical Center-Maimonides Hospital,https://www.courtlistener.com/opinion/6023013/wittrock-v-maimonides-medical-center-maimonides-hospital/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,2588947,5957689,9787455,Martinez v. Long Island Jewish Hillside Medical Center,https://www.courtlistener.com/opinion/2588947/martinez-v-long-island-jewish-hillside-medical-center/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,5689310,5957689,5538552,Lynch v. Bay Ridge Obstetrical & Gynecological Associates,https://www.courtlistener.com/opinion/5689310/lynch-v-bay-ridge-obstetrical-gynecological-associates/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,6055224,5957689,5918758,Lancellotti v. Howard,https://www.courtlistener.com/opinion/6055224/lancellotti-v-howard/
courtlistener,6093247,5957689,Creed v. United Hospital,1993,https://www.courtlistener.com/opinion/6093247/creed-v-united-hospital/,6064458,5957689,5928183,Ash v. New York University Dental Center,https://www.courtlistener.com/opinion/6064458/ash-v-new-york-university-dental-center/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,5988767,5963848,5849375,Larkin v. State,https://www.courtlistener.com/opinion/5988767/larkin-v-state/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,6009731,5963848,5871884,Mertsaris v. 73rd Corp.,https://www.courtlistener.com/opinion/6009731/mertsaris-v-73rd-corp/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,6016782,5963848,5879191,Hylick v. Halweil,https://www.courtlistener.com/opinion/6016782/hylick-v-halweil/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,6051664,5963848,5915109,Sachs v. Nassau County,https://www.courtlistener.com/opinion/6051664/sachs-v-nassau-county/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,6061389,5963848,5925023,Windisch v. Weiman,https://www.courtlistener.com/opinion/6061389/windisch-v-weiman/
courtlistener,6099291,5963848,Hughes v. New York Hospital-Cornell Medical Center,1993,https://www.courtlistener.com/opinion/6099291/hughes-v-new-york-hospital-cornell-medical-center/,6074301,5963848,5938266,"Jimenez v. Urban Universal Structures, Inc.",https://www.courtlistener.com/opinion/6074301/jimenez-v-urban-universal-structures-inc/
courtlistener,6099292,5963849,Labate v. Plotkin,1993,https://www.courtlistener.com/opinion/6099292/labate-v-plotkin/,5949421,5963849,5808118,Mark v. Colgate University,https://www.courtlistener.com/opinion/5949421/mark-v-colgate-university/
courtlistener,6099293,5963850,McMahon v. Badia,1993,https://www.courtlistener.com/opinion/6099293/mcmahon-v-badia/,2584378,5963850,2584378,Fileccia v. Massapequa General Hospital,https://www.courtlistener.com/opinion/2584378/fileccia-v-massapequa-general-hospital/
courtlistener,6099293,5963850,McMahon v. Badia,1993,https://www.courtlistener.com/opinion/6099293/mcmahon-v-badia/,6023078,5963850,5885709,Amsler v. Verrilli,https://www.courtlistener.com/opinion/6023078/amsler-v-verrilli/
courtlistener,6099293,5963850,McMahon v. Badia,1993,https://www.courtlistener.com/opinion/6099293/mcmahon-v-badia/,5689507,5963850,5538780,Gross v. Friedman,https://www.courtlistener.com/opinion/5689507/gross-v-friedman/
courtlistener,6099293,5963850,McMahon v. Badia,1993,https://www.courtlistener.com/opinion/6099293/mcmahon-v-badia/,6085264,5963850,5949536,Kracker v. Spartan Chemical Co.,https://www.courtlistener.com/opinion/6085264/kracker-v-spartan-chemical-co/
courtlistener,1113483,1113483,Zehr v. Haugen,1993,https://www.courtlistener.com/opinion/1113483/zehr-v-haugen/,1120096,1113483,1120096,"Securities-Intermountain, Inc. v. Sunset Fuel Co.",https://www.courtlistener.com/opinion/1120096/securities-intermountain-inc-v-sunset-fuel-co/
courtlistener,1113483,1113483,Zehr v. Haugen,1993,https://www.courtlistener.com/opinion/1113483/zehr-v-haugen/,7037797,1113483,6940586,"State ex rel. Frohnmayer v. Bicar, Inc.",https://www.courtlistener.com/opinion/7037797/state-ex-rel-frohnmayer-v-bicar-inc/
courtlistener,1677228,1677228,Alford v. G. Pierce Woods Memorial Hosp.,1993,https://www.courtlistener.com/opinion/1677228/alford-v-g-pierce-woods-memorial-hosp/,1889271,1677228,1889271,Odom v. Wekiva Concrete Products,https://www.courtlistener.com/opinion/1889271/odom-v-wekiva-concrete-products/
courtlistener,1677228,1677228,Alford v. G. Pierce Woods Memorial Hosp.,1993,https://www.courtlistener.com/opinion/1677228/alford-v-g-pierce-woods-memorial-hosp/,1728073,1677228,1728073,Gust K. Newberg Construction Co. v. Warren,https://www.courtlistener.com/opinion/1728073/gust-k-newberg-construction-co-v-warren/
