rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
32,rule,62,509,352,1,informative,STATUTE-PROVISION,,RULE,,"The only rule relevant for our present purposes is rule 25, dealing with contracts."
33,word,57,446,343,0,non-informative,ASPECT,,,,Words and Phrases: 'Public utility'--'Reasonableness of rates' meaning of.
34,date,82,432,342,0,non-informative,TEMPORAL,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
35,place,67,371,338,0,non-informative,ASPECT,,,,They reached near a circular road and at the place where their stock of wood was lying.
36,behalf,72,320,318,0,non-informative,ASPECT,,,,"On behalf of the accused, Harjit Singh (A-1), the learned counsel severally criticized the reasoning of the High Court in rejecting his plea of self-defence."
37,union,35,427,315,1,informative,FORUM-AUTHORITY,,ACTOR,,"premier Automobiles v. Union, [1972] 2 S.C.R. 526; Panipat Cooperative Sugar Mills v. Union, [1973] Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 2 S.C.R. 860; Shree Meenakshi Mills v. Union, "
38,regard,65,324,312,0,non-informative,ASPECT,,,,"Of course, no hard and fast rule can be laid down in regard to cases in which the High Court will exercise its extraordinary jurisdiction of quashing the proceedings at any stage."
39,april,33,302,300,0,non-informative,TEMPORAL,,,,"Between April 1971 and December 1975, the well-head price was increased and fixed at Rs.66 per unit, we are all told, on the intervention of the then Gujarat Governor."
40,dispute,71,346,299,1,informative,LEGAL-CONCEPT,,ISSUE,,To explain the nature of dispute over the piece of land he states that he is member of the Panchayat and with co-accused had approached the Gram Panchayat with a request that the path by which they approached their houses from the village b
41,power,52,696,295,1,informative,LEGAL-CONCEPT,,ISSUE,,Lord Salmon in Director of Public Prosecutions v. Humphrys [1977] AC 1 stressed the importance of the inherent power when he observed that it is only if the prosecution amounts to an abuse of the process of the court and is oppressive and v
42,state government,30,294,294,1,informative,FORUM-AUTHORITY,,ACTOR,,"Under the above provision, the Board is under a statutory obligation to carry on its operations and adjust its tariffs in such a way to ensure that the total revenues earned in any year of account shall, after meeting all expenses chargeabl"
43,member,38,379,292,1,informative,PARTY-ACTOR,,ACTOR,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
44,landlord,17,322,287,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"He further alleged that after 1946, Shyamala Raju had considered him as the landlord."
45,ground,75,371,283,0,non-informative,ASPECT,,,,"Hari Singh (PW1) then stated that as he saw his son the deceased and Gurvinder Singh PW3 to have fallen on the ground due to injuries caused to them by the bullets fired by the accused, he fired from his own double barrel gun which hit accu"
46,land,48,767,281,1,informative,PROPERTY-RES,,EVIDENCE,,"According to him the cause of the incident is long pending dispute regarding the piece of land on which the complainant party had stocked their wood and Harjit Singh And vs State Of Punjab on 16 August, 2002 thereby caused obstruction to th"
47,trial court,38,281,281,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The three accused namely, Harjeet Singh, Varinderjit Singh and Gursharan Singh have been convicted under Sections 302, 307, 326, 324 and 323 read with Section 34 IPC and the sentences imposed on them by the trial court have been maintained."
48,term,67,400,275,0,non-informative,ASPECT,,,,"The courts are receiving a large number of cases emanating from section 498-A of the Indian Penal Code which reads as under:- ""498-A. Husband or relative of husband of a woman subjecting her to cruelty.--Whoever, being the husband or the re"
49,sale,32,451,267,1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,"Functions of the Commission-- (1) Subject to the provisions of this Act, the functions of the Commission shall generally be to plan, promote, organise and implement programmes for the development of petroleum resources and the production an"
50,september,44,270,265,0,non-informative,TEMPORAL,,,,In September 1994 an application was moved before the Naib Tehsildar for demarcation of the street.
51,government,43,599,265,1,informative,FORUM-AUTHORITY,,ACTOR,,"We direct the Registry to send a copy of this judgment to the Law Commission and to the Union Law Secretary, Government of India who may place it before the Hon'ble Minister for Law & Justice to take appropriate steps in the larger interest"
52,cost,76,318,264,0,non-informative,ASPECT,,,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
53,purpose,70,425,263,0,non-informative,ASPECT,,,,The eyewitness account given by Hari Singh (PW1) before the trial court is required to be stated in necessary details for the purpose of appreciating and weighing the prosecution case.
54,contract,34,355,262,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
55,sub,50,308,258,0,non-informative,CITATION-REF,,,,"Failure in this respect may, under sub-s. (3) entitle the railway administration to charge in respect of the carriage of the goods at a rate not exceeding double the hi-best rate which may be in force at the time on the railway for any clas"
56,transfer,26,325,258,1,informative,LEGAL-CONCEPT,,ISSUE,,"500/- (rupees five hundred) per each such share in addition to expenses of such transfer of shares pertaining to those shares only,"" 3."
57,circumstance,83,318,257,0,non-informative,ASPECT,,,,"It is on the above circumstances, improvements and omissions, in the statement of Hari Singh (PW-1) that the learned counsel appearing for the accused Harjit Singh (A-1) submits that plea of self-defence of the accused should be accepted by"
58,code,35,379,257,1,informative,STATUTE-PROVISION,,RULE,,The main question which falls for consideration in this case is whether the High Court was justified in not exercising its inherent powers under section 482 of the Code of Criminal Procedure in the facts and circumstances of this case? 15.
59,premise,31,369,257,1,informative,PROPERTY-RES,,EVIDENCE,,"A provision in an ordinance granting a franchise to an electric light company, that the city should not require the company to make ""extensions"" except upon certain conditions does not affect the right of a resident in an established servic"
60,reason,77,348,256,0,non-informative,ASPECT,,,,"In our opinion, in site of infirmities in the prosecution case as highlighted above, the plea of self-defence is not available to the accused (A-1) for other reasons."
61,evidence,55,373,251,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It is submitted that these three co-accused might have proceeded together on the tractor but it is not possible from that evidence and from their subsequent acts to infer that they had a common intention to commit murder of the deceased.
62,january,33,253,250,0,non-informative,TEMPORAL,,,,"The result is that, ever since January 1983 and till today, most of the petitioners have been paying for the gas supplied only at the rate of Rs. 1,000 per unit and some of the industries have defaulted even in doing this."
63,right,67,630,248,1,informative,LEGAL-CONCEPT,,ISSUE,,4) An abrasion 1 cm x 1 cm on the dorsal aspect of the middle finger of the right had over middle (sic) underlying muscles and bone healthy.
64,art,25,250,245,0,non-informative,CITATION-REF,,,,"50 of 1948), ss. 21 (4), 41 (1),42-Constitution of India, Art."
65,compensation,23,295,244,1,informative,MONETARY-VALUATION,LAND-ACQUISITION,EVIDENCE,,"It was also stated that in future if any of his brothers or legal representatives would make any claim or raise any dispute or the purchaser would be dispossessed, the seller would pay compensation, damages and costs to the buyer."
66,limitation,31,257,240,1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,""" The second constraint is in regard to the rates that can be charged by such an undertaking: A public utility may, in the absence of a legislative prescription or limitation of rates, fix and exact reasonable rates for services furnished, "
67,effect,61,330,239,0,non-informative,ASPECT,,,,"Inherent power under section 482 Cr.P.C. can be exercised: (i) to give effect to an order under the Code; (ii) to prevent abuse of the process of court, and (iii) to otherwise secure the ends of justice."
68,good,18,336,234,0,non-informative,,,,,"There are also other public utility undertakings providing for water, sewage connections, transport and the like which are under a statutory obligation to supply goods and services to members of the society at large, subject to the fulfilme"
69,learn counsel,53,229,229,1,informative,PARTY-ACTOR,,ACTOR,,"Learned counsel submits that the other three accused viz., Harjit Singh (A-1), Inderjit Singh (A-3) and Ajaib Singh (A-4) went to the spot after they had heard a commotion described as Raula or noise of fighting."
70,way,64,266,226,0,non-informative,ASPECT,,,,"According to the Autopsy Surgeon, Dr. Harpal Kaur (PW2), the following ante-mortem injuries were found on the person of the deceased:- 1) A punctured lacerated wound with inverted margins measuring 0.5 cms in diameter over left lumber regio"
71,account,55,335,226,0,non-informative,ASPECT,,,,"Explanation.--For the purposes of this section, `cruelty' means:- (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide or to cause grave injury or danger to life, limb or health (whether mental "
72,opinion,82,282,225,0,non-informative,ASPECT,,,,In the opinion of the Autopsy Surgeon injuries 1 & 2 caused to abdomen communicated with each other.
73,agreement,45,361,225,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"On this basis, an agreement was entered into between them in March, 1963 whereunder the price of fuel oil was fixed at Rs.77.26 per tonne including rail frieght; and, based on this price and thermal value equivalence, the price of Cambay ga"
74,august,37,226,224,0,non-informative,TEMPORAL,,,,"And vs State Of Punjab on 16 August, 2002"
75,offence,21,278,224,0,non-informative,,CRIMINAL,,,"Additional sessions Judge, Amritsar in Sessions Trial No. 1/95 convicted all the six accused for offences under Sections 302, 307, 323, 324, 326 read with Sections 148 & 149 IPC and sentenced them all to life imprisonment and separate sente"
76,basis,57,321,221,0,non-informative,ASPECT,,,,"The High Court on the basis of Injury Report of the accused (A-1) inferred that as he had suffered serious injuries on his legs, he could not have fired in self-defence."
77,para,35,234,217,0,non-informative,CITATION-REF,,,,"This court in Madhavrao Jiwajirao Scindia & Others v. Sambhajirao Chandrojirao Angre & Others observed in para 7 as under: ""7."
78,contention,70,270,216,0,non-informative,ASPECT,,,,"When these appeals were filed a Bench of this Court, on 6.10.1983, continued the interim price of Rs. 1,000 per unit without prejudice to the rights and contentions of the parties and directed the appeals to be expedited."
79,post,11,317,216,0,non-informative,,,,,"Pahar Singh r/o Village: Nayapura, Post: Ratanpur, Tehsil: Bagli, District: Devas, Madhya Pradesh."
80,reference,54,249,214,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"And vs State Of Punjab on 16 August, 2002 vary depending not only on the injurious sequel but also on the part played and the circumstances present, making a personalized approach with reference to each."
81,claim,57,319,207,1,informative,LEGAL-CONCEPT,,ISSUE,,"It was sufficient, for disposing of this claim, to deal with this aspect of the matter and the larger aspect of Oil and Natural Gas Commission being a public utility undertaking could be left out of account."
82,consideration,78,301,202,1,informative,MONETARY-VALUATION,,EVIDENCE,,We shall deal with that medical report at the appropriate stage when we take for consideration the part allegedly played in the incident by the convicted accused. 14.
83,tenant,24,398,201,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,In his defence Raju stated that he was in possession for eight years; that he continued to be in possession; that Iyengar was collecting rents arising from the suit properties as a constituted attorney of K.S. Setlur; that on termination of
84,share,23,313,199,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Increasingly, the share of the profits of public enterprises in financing the investment and maintenance expenditure of government must keep on increasing."
85,present case,62,198,198,0,non-informative,ASPECT,,,,"The present case would undoubtedly fall for exercise of the power of the High Court in accordance with Section 482 of the 1973 Code, even assuming, that the invoking of the revisional power of the High Court is impermissible."
