rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
32,crpc,81,5,ORG,Crpc,ACTOR,,1,informative,,The High Court passed the order on a revision application under Section 489 of the CrPC made by Harmit Kaur widow of the deceased Bharpur Singh.
33,collector,79,7,ORG,Collector,ACTOR,,1,informative,,(3) If any person refuses or fails to pay the arrears of rent or any instalments thereof payable under sub-section (1) or the damages or any instalment thereof payable under sub-section (2) within the time specified in the order relating th
34,kknpp,75,1,ORG,Kknpp,ACTOR,,1,informative,,for setting up of KKNPP at Kudankulam in view of the Indo-Russia agreement.
35,mahajan deolal,72,1,PERSON,Mahajan Deolal,ACTOR,,1,informative,,"133 (1) (a) of the Constitution, The appellant is Mithoolal Nayak, who took an assignment on october 18, 1945 of a life insurance policy on the life of one Mahajan Deolal for a sum of Rs."
36,cec,71,2,ORG,Cec,ACTOR,,1,informative,,The CEC was originally directed to be constituted by an order of this Court dated 09.05.2002.2
37,m. s. murthy,71,1,PERSON,M. S. Murthy,ACTOR,,1,informative,,"M/S. Trinity Infraventures Ltd. vs M. S. Murthy on 15 June, 2023"
38,hydernagar,71,1,GPE,Hydernagar,EVIDENCE,,1,informative,,38 Hydernagar patta Hydernagar Taluk lands.
39,government of india,70,18,ORG,Government Of India,ACTOR,,1,informative,,"We direct the Registry to send a copy of this judgment to the Law Commission and to the Union Law Secretary, Government of India who may place it before the Hon'ble Minister for Law & Justice to take appropriate steps in the larger interest"
40,sec,69,10,ORG,Sec,,,0,non-informative,,The proviso to sec. 14(1)(e) of the Act which lays down that the setting up of industries to be run with the aid of gas was not to be undertaken by the ONGC without the Central Government's approval also gives an indication that the supply 
41,committee,68,15,ORG,Committee,ACTOR,,1,informative,,"In that sense, cl. 14 which confers on the Trustees absolute discretion to deal with the property in any manner they like, as well as cls. 18 and 24 which clothe them with authority to employ servants is their uncontrolled discretion and to"
42,npcil,68,1,ORG,Npcil,ACTOR,,1,informative,,"Following that, a separate public sector company, namely, the Nuclear Power Corporation of India G.Sundarrajan vs Union Of India & on 6 May, 2013 (NPCIL) with a view to design, build and operate nuclear reactors in the country was created i"
43,article 16(4,67,1,LAW,Article 16(4,,,0,non-informative,,(3) Whether the notification merely contemplates a classification under Article 16(1) and not reservation under Article 16(4)?
44,sheth,66,1,PERSON,Sheth,ACTOR,,1,informative,,Union Of India (Uoi) vs Sankalchand Himatlal Sheth
45,article 222,66,1,LAW,Article 222,RULE,CONSTITUTIONAL,1,informative,,"The order was purported to be made by the President in exercise of the powers conferred under Article 222, Clause (1) of the Constitution."
46,sc,65,32,GPE,Sc,,,0,non-informative,,"CGLJ 424, 2002 CRILR(SC&MP) 791, 2002 (4) SLT 777, (SC), , 2002 (8) SRJ 368, , 2002 (CRI) 1518, (2002) 1 MADLW(CRI) 306, (2002) MAD LJ(CRI) 490, (2002) 3 CRIMES 158, 2003 CHANDLR(CIV&CRI) 584, (2002) 3 ALLCRIR 2557, (2002) 3 JLJR 161, (2002"
47,crl,65,13,ORG,Crl,ACTOR,,1,informative,,"47 ALLCRIC 388, (2003) 1 ALLCRILR 241, 2002 (2) (CRL) 420 Bench: N. Santosh Hegde, D.M. Dharmadhikari JUDGMENT Dharmadhikari, J. 1."
48,lakshmanan,65,2,ORG,Lakshmanan,ACTOR,,1,informative,,"because, according to the evidence of one Dr. P.N Lakshmanan, Consulting Physician at Jabalpur, Mahajan Deolal was examined and treated by the said doctor between the dates September 7, 1943, and October 6, 1943, when the doctor found that "
49,icai,65,1,ORG,Icai,ACTOR,,1,informative,,"The petition before the High Court Centre For Public Interest Litigation vs U.O.I on 23 February, 2018 sought direction for exercise of power under Section 21 of the Chartered Accountants Act, 1949 (‘CA Act’) to initiate investigation again"
