rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
638,panapur,9,1,GPE,Panapur,EVIDENCE,,1,informative,,"The statement was recorded at the corridor of Camp Rajkiya Hospital, Panapur by Sub-Inspector N.N. Thakur of Police Station, Panapur in the presence of two other injured namely Daroga Rai and Smt."
639,fard bayan,9,1,PERSON,Fard Bayan,ACTOR,,1,informative,,The Fard Bayan was registered on the oral statement given by one of the injured (later deceased) Rajendra Rai as recorded by Sub-Inspector N.N. Thakur at 10.30 AM.
640,national insurance company ltd,9,1,ORG,National Insurance Company Ltd,,,0,non-informative,,"K. Ramya vs National Insurance Company Ltd. on 30 September, Author: Surya Kant Bench: V. Ramasubramanian, Surya Kant REPORTABLE IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION CIVIL APPEAL NO.7046 OF 2022"
641,ankush shivaji gaikwad,9,1,PERSON,Ankush Shivaji Gaikwad,ACTOR,,1,informative,,"Ankush Shivaji Gaikwad vs State Of Maharashtra on 3 May, 2013 3044, SC( CRI) 1435, 2013 (4) ABR 648, (2013) 4 MPHT 249, (2013) 127 ALLINDCAS 209 (SC), (2013) 2 DLT(CRL) 483, (2013) 3 ALLCRILR 794, (2013) 3 MH LJ (CRI) 549, (2014) 57 OCR 178"
642,section 304,9,1,LAW,Section 304,RULE,,1,informative,,"The question, however, is whether in the facts and circumstances of the case the appellant has been rightly convicted for the capital offence and if not whether the act attributed to him would constitute a lesser offence like culpable homic"
643,pwcpl,9,1,ORG,Pwcpl,ACTOR,,1,informative,,Firms operating under the brand name of PwCPL received huge sums from abroad in violation of law and applicable policies but the concerned authorities have failed to take appropriate action.
644,network c,9,1,ORG,Network C,ACTOR,,1,informative,,This clearly supports holding out by these firms in Network C that they are part of the international Network C of MAFs.
645,k. bhaskaran,9,1,PERSON,K. Bhaskaran,ACTOR,,1,informative,,"(8) Inasmuch as the issue in question is directly considered by this Court in K. Bhaskaran , before going into the applicability of other decisions, it is useful to refer the relevant portion of the judgment in paras 10 and 11 of the said c"
646,section 138,9,1,LAW,Section 138,RULE,,1,informative,,It must be remembered that offence under Section 138 would not be completed with the dishonour of the cheque.
647,zafar jung,9,1,PERSON,Zafar Jung,ACTOR,,1,informative,,"Sir Khurshid Jah died on Rabi-al-Thani, 1320 H (July, 1902) leaving behind him surviving, two sons, by name Imam Jung and Zafar Jung as his only recognised legitimate heirs."
648,sameena kausar,9,1,PERSON,Sameena Kausar,ACTOR,,1,informative,,"A few individuals, namely Sameena Kausar and four others, all of whom are the daughters of late Mirza Mazahar Baig, have come up with separate appeals against the judgment in OSA Nos.54, 56, 58 and 59 of 2004, challenging (as per paragraph "
649,section 171 of the act,9,1,LAW,Section 171 Of The Act,RULE,,1,informative,,"When required by the Income-tax Officer to explain as to why "" the properties were not divided in definite portions as required by Section 171 of the Act, the assessee stated that physical division of the properties in question amongst the "
650,department of atomic energy,9,1,ORG,Department Of Atomic Energy,ACTOR,,1,informative,,"Learned Additional Solicitor General also submitted that the Department of Atomic Energy is also aware of the importance of safety and security and takes utmost care to ensure that the management and transport is carried out safely, followi"
651,eac,9,1,ORG,Eac,ACTOR,,1,informative,,Further it was also pointed out that during the appraisal of CRZ clearance for Units 3 to 6 before the grant of CRZ clearance on 25.7.2012 the Expert Appraisal Committee (EAC) considered the marine impact assessment and opined that there wo
652,hereinafter,9,1,ORG,Hereinafter,,,0,non-informative,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
653,section 19 of the act,9,1,LAW,Section 19 Of The Act,RULE,,1,informative,,The Appellate Tribunal took note of the contention urged on behalf of the appellant that a petition under Section 19 of the Act of 1993 was pending before DRT wherein question had been raised as to whether the amount was payable to the assi
654,article 137,9,1,LAW,Article 137,RULE,CONSTITUTIONAL,1,informative,,"Coming to the crux of the matter, in paragraph 20 of the impugned order, the Appellate Tribunal referred to Article 137 dealing with ‘OTHER APPLICATIONS’, as occurring in Part II of Third Division of Schedule to the Limitation Act and repro"
655,innoventive industries,9,1,ORG,Innoventive Industries,ACTOR,,1,informative,,"Thereafter, in paragraph 22, the Appellate Tribunal extracted the relevant passages from the decision in Innoventive Industries wherein this Court has explained as to how the CIRP is triggered in the scheme of IBC; and has underscored the r"
656,ots,9,1,ORG,Ots,ACTOR,,1,informative,,"Noticeably, though the Appellate Tribunal has referred to the pendency of the application under Section 19 of the Act of 1993 as also the fact that corporate debtor had made a prayer for OTS in the month of July, 2018 but, has not recorded "
657,la-fin,9,1,FAC,La-Fin,EVIDENCE,,1,informative,,"Pursuant to this agreement, La-Fin, as a group company of MCX, issued a letter of undertaking to IL&FS on 20.08.2009 stating that LaFin or its appointed nominees would offer to purchase from IL&FS the shares of MCX-SX after a period of one "
658,j.c. shah,8,6,GPE,J.C. Shah,EVIDENCE,,1,informative,,"J.C. Shah, V. Ramaswami COMMISSIONER OF INCOME-TAX WEST BENGAL,CALCUTTA Vs. SMT."
659,s. 2,8,6,PERSON,S. 2,ACTOR,,1,informative,,"The latter case is an authority for the proposition that an employee engaged in any work or operation which is incidentally connected with the main industry is a workman if other requirements of s. 2(s) of the Industrial Disputes Act, 14 of"
660,contract act,8,6,LAW,Contract Act,RULE,SALE-CONTRACT,1,informative,,"Section 10 of the Act provides all agreements are contracts if they are made by the free consent by the parties competent to contract, for a lawful consideration and with a lawful object, and are not expressly declared to be void under the "
661,judicial magistrate,8,5,ORG,Judicial Magistrate,ACTOR,,1,informative,,"The complaint was transferred to the court of the Judicial Magistrate, Ranchi."
662,united states,8,5,GPE,United States,EVIDENCE,,1,informative,,"Moreover, there, as in the United States, the gas industry is in the private sector, there is also governmental regulation through the Federal Power Authority in the public interest."
663,article 22,8,5,LAW,Article 22,RULE,CONSTITUTIONAL,1,informative,,"Of Karnataka & on 19 September, 2011 (5) of Article 22, much less any statutory requirement to consider the representation before confirming the order of detention."
664,s. 3,8,5,ORG,S. 3,ACTOR,,1,informative,,"Since the law made by the Legislature of the State of Punjab namely, s. 3 of the Punjab Act of 1953 is repugnant to the law made by the Parliament which the Parliament was competent to enact namely s. 8(2) of the Central Act of 1950, the la"
665,s.l.p,8,5,PERSON,S.L.P,,,0,non-informative,,It is against this decision of the Division Bench of the High Court that present appeals by special leave (we also grant special leave in S.L.P. No. 9408 of 1992) have been filed.
666,crown,8,5,ORG,Crown,ACTOR,,1,informative,,"According to Holdsworth(1) the Judges, from the first, were paid salaries by the Crown which in the course of years were increased."
667,state of mysore,8,5,ORG,State Of Mysore,ACTOR,,1,informative,,"These principles may be taken as well established by the following decisions of this Court: (i) K.N. Guruswamy v. The State of Mysore and others,"
668,code,8,5,ORG,Code,ACTOR,,1,informative,,"On or about 8.11.2006, an application had been filed under Order VI Rule 17 of the Code of Civil Procedure (for short ""the Code""), which was marked as IA 9 of 2006, seeking amendment to the written statement."
669,a.n. grover,8,5,ORG,A.N. Grover,ACTOR,,1,informative,,"State Of Bihar vs Union Of India & on 19 September, 1969 COURT 1446 Author: G.K. Mitter Bench: G.K. Mitter, M. Hidayatullah, J.C. Shah, V. Ramaswami, A.N. Grover STATE OF BIHAR Vs. UNION OF INDIA & 19/09/1969 MITTER, G.K. MITTER, G.K. HIDAY"
670,krishna iyer,8,4,PERSON,Krishna Iyer,ACTOR,,1,informative,,"See following observations of Justice Krishna Iyer speaking for this Court in Hira Lal Malik v. State : ""When a crime is committed by the concerted action of a plurality of persons constructive liability implicates each participant, but the"
671,state electricity board,8,4,ORG,State Electricity Board,ACTOR,,1,informative,,Even in relation to a public utility undertaking like the State Electricity Boards where the duty not to make undue profits by abusing its monopoly position is clear (vide: Jagadamba Oil And Natural Gas Commission And vs Association Of Natu
672,suit no,8,4,ORG,Suit No,ACTOR,PROCEDURE-REMEDY,1,informative,,"This question was answered in favour of K.S. Setlur in the affirmative in RSA No. 545/73, which appeal stood disposed of by the High Court vide judgment dated 14.8.1981 arising from Suit No. 89/63 filed by K.S. Setlur."
673,krishna,8,4,PERSON,Krishna,ACTOR,,1,informative,,"No. 341/04 under Section 302 IPC : In this case due to prior rivalry with rowdy Rajendra @ Bekkina Kannu Rajendra, and also thinking that Rajendra was responsible for the death of his younger brother Krishna @ Kitti, chased him in public vi"
674,s. 7,8,4,PERSON,S. 7,ACTOR,,1,informative,,"Vs. KALU RAM & DATE OF JUDGMENT20/04/1976 GUPTA, A.C. GUPTA, A.C. SINGH, JASWANT CITATION: 1976 (3) 407 ACT: Public Premises (Eviction of Unauthorised Occupants) Act, 1958, S. 7 , whether creates new right or merely provides special procedu"
675,section 8,8,4,LAW,Section 8,RULE,,1,informative,,"Under section 8 (2) of the Central Act of 1950, the evacuee property which was vested in the Custodian appointed by the State Government under the repealed Act, was to be deemed to be evacuee property declared as such under the Central Act "
676,state of bombay,8,4,ORG,State Of Bombay,ACTOR,,1,informative,,"Burmah Shell Oil and Dist. Co. v. Manmad Municipality, A.I.R. , The State of Bombay v. The United Motors (India) Ltd., [1953] S.C.R. 1069 and Anwar Khan Mahboob Co."
677,land acquisition,8,4,ORG,Land Acquisition,ACTOR,LAND-ACQUISITION,1,informative,,"This may be seen from the judicial orders of Reference Courts Devas; the land record of the revenue authorities of the State Government, the order of the Land Acquisition Officer and the affidavits of the concerned oustees which were placed"
678,high court of calcutta,8,4,ORG,High Court Of Calcutta,ACTOR,,1,informative,,"Now coming to the grounds that commended themselves to Mukharji J. (the present Chief Justice of the High Court of Calcutta), we are unable to find out how the learned judge was able to come to the conclusion that there was no proof or char"
679,letters patent,8,4,ORG,Letters Patent,ACTOR,,1,informative,,12 of the Letters Patent and s. 17 Code of Civil Procedure)
680,section 149,8,3,LAW,Section 149,RULE,,1,informative,,"The accused Varinderjit Singh has been charged in furtherance of common intention of the unlawful assembly with common object to have caused grievous injuries to Harjinder Singh by means of ""Kirpan,"" constituting an offence under Section 32"
681,section 73,8,3,LAW,Section 73,RULE,,1,informative,,Section 73 provides for the general responsibility of a railway administration as a carrier of animals and goods except from any of the causes specified therein.
682,habeas corpus,8,3,ORG,Habeas Corpus,ACTOR,,1,informative,,2) The appellant has filed this appeal against the final judgment and order dated 28.03.2011 passed by the High Court of Karnataka at Bangalore in a writ of Habeas Corpus being Writ Petition No. 220 of 2010 whereby the High Court dismissed 
683,s. 17,8,3,ORG,S. 17,ACTOR,,1,informative,,"In August 1945, the first respondent filed a petition against the second respondent, before the Debt Adjustment Board, under Ss. 17, 18 and 45 of the Bombay Agricultural Debtors Relief Act, 1939, within the time prescribed by S. 17, allegin"
684,adv,8,3,PERSON,Adv,ACTOR,,1,informative,,"Mr. Ranjan Mukherjee,Adv. For Respondent(s)"
685,assam,8,2,GPE,Assam,EVIDENCE,,1,informative,,"The award starts with a discussion of certain general considerations and while doing so, dealing with a contention comparing the price fixation in Assam and Gujarat, the award says: ""The Gujarat contention that in fixing the price of gas in"
686,section 48,8,2,LAW,Section 48,RULE,,1,informative,,The mode of settlement of accounts is clearly set out in section 48.
687,deccan,8,2,ORG,Deccan,ACTOR,,1,informative,,"The Trustees shall held and stand possessed of the Trust Fund upon the following Trusts : (a) To manage the Trust Fund and collect and recover the interest, dividends and other income thereof : (b) To pay and discharge out of the income of "
688,special land acquisition,8,2,ORG,Special Land Acquisition,ACTOR,LAND-ACQUISITION,1,informative,,"v. Jaipur Development Authority & , ; Special Land Acquisition Officer, U.K. Project v. Mahaboob & , ; Mahanadi Coal Fields Ltd. & v. Mathias Oram & , (2010) 7 SC 352; and Brij Mohan & v. Haryana Urban Development Authority & , )."
689,scheduled tribes,8,2,ORG,Scheduled Tribes,ACTOR,,1,informative,,"If any displaced family belonging to the Scheduled Tribes, submits such an application, it will be essential to obtain orders of the Collector who will, after necessary enquiry, certify that this will not adversely affect the interests of t"
690,customs,8,2,ORG,Customs,ACTOR,,1,informative,,The Central Government and the Central Board of Excise and Customs were therefore clearly bound by promissory estoppel to exclude the cost of corrugated fibreboard containers from the value of the goods for the purpose of assessment of exci
691,untwalia,8,2,PERSON,Untwalia,ACTOR,,1,informative,,"P.N. Bhagwati SRI KRISHNA KHANNA Vs. ADDITIONAL DISTRICT MAGISTRATE, KANPUR AND DATE OF JUDGMENT26/02/1975 UNTWALIA, N.L. UNTWALIA, N.L. MATHEW, KUTTYIL KURIEN BHAGWATI, P.N. CITATION: 1975 (2) 361 ACT: U.P. (Temporary) Control of Rent and "
692,article 229,8,2,LAW,Article 229,RULE,CONSTITUTIONAL,1,informative,,"The learned counsel would urge that having regard to the provisions contained in Clause 2 of Article 229 of the Constitution of India, the Chief Justice of the High Court may in his wisdom fix the pay scale but therefor approval of the Pres"
693,rajeev dhawan,8,2,PERSON,Rajeev Dhawan,ACTOR,,1,informative,,"Dr. Rajeev Dhawan, learned senior counsel appearing for the respondents, argued that the Constitution has a solicitude for scheduled castes and scheduled tribes under various provisions contained in Articles 15 and 16 and the Directive Prin"
694,evidence act,8,2,LAW,Evidence Act,RULE,,1,informative,,"Whether the previous or subsequent conduct of the accused, established on record, can be treated as a circumstance against the accused in view of Section 8 of the Evidence Act? C)"
695,section 54,8,2,LAW,Section 54,RULE,,1,informative,,"They have singularly failed to comply with the provisions of Section 54 of the Electricity Act, 2003, and Rule 47A of the Indian Electricity Rules, 1956."
696,section 300,8,2,LAW,Section 300,RULE,,1,informative,,On behalf of the appellant it was contended that the appellant’s case fell within Exception 4 to Section 300 of the I.P.C. which reads as under: “Exception 4.—
697,state of a.p,8,2,ORG,State Of A.P,ACTOR,,1,informative,,"(3) , Gaya Din v. Hanuman Prasad , Aruvelu v. State and Gamini Bala Koteswara Rao v. State of A.P ).”"
698,tnsec,8,2,ORG,Tnsec,ACTOR,,1,informative,,As the factual matrix would unfurl that Tamil Nadu State Election Commission (TNSEC) had issued a Notification bearing S.O.
699,gseb,8,1,ORG,Gseb,ACTOR,,1,informative,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
700,paper book,8,1,WORK_OF_ART,Paper Book,,,1,informative,,He (Raju) in his written statement stated that he continued to remain in possession till 28.8.1950 (see p. 78 of the SLP Paper Book).
701,societies act,8,1,WORK_OF_ART,Societies Act,,,1,informative,,The Society thereupon filed an application under s. 34 of the Indian Arbitration Act praying for a stay of the aforesaid suit on the ground that the respondents had agreed to arbitration as provided in the Co-operative Societies Act.
702,dhalia,8,1,PERSON,Dhalia,ACTOR,,1,informative,,"According to the appellant, both, Ganpat and Bhagwandas took forcible possession of some portion of the house on the southern side of the property comprising of Dhalia (roofed house) and adjoining Angana (open land)."
703,shri brar,8,1,PERSON,Shri Brar,ACTOR,,1,informative,,"Against this the petitioner filed an appeal before the State Government under s. 21 (4) of the Act, which was heard by Shri Brar, Assistant DIrector, Consolidation, to whom the power to hear such appeals had been delegated under s. 41 (1)."
704,new delhi municipal committee,8,1,ORG,New Delhi Municipal Committee,ACTOR,,1,informative,,"New Delhi Municipal Committee vs Kalu Ram & on 20 April, COURT 1637, , , 1976 (1) SCWR 479, 1976 (12) DLT 325, 1976 MCC 194, 1976 UJ (SC) 525 Author: A.C. Gupta Bench: A.C. Gupta, Jaswant Singh NEW DELHI MUNICIPAL COMMITTEE"
705,h.d. vora case2,8,1,PERSON,H.D. Vora Case2,ACTOR,,1,informative,,"In effect, this writ petition too seeks reconsideration of the judgment in H.D. Vora case2."
706,section 17 of the registration act,8,1,LAW,Section 17 Of The Registration Act,RULE,,1,informative,,"It is obvious that the residue would in the eye of law be movable property i.e. cash, and hence distribution of the residue among the partners in proportion to their shares in the profits would not attract section 17 of the Registration Act"
707,list 11,8,1,LAW,List 11,RULE,,1,informative,,"Phrase ""Fees taken in Court"" in List 1 Entry 77 and List 11 Entry 3 of Seventh Schedule to Constitution of India, meaning of."
708,s. 66(1,8,1,PERSON,S. 66(1,,,0,non-informative,,"ANUSUYA DEVI 28/11/1967 SHAH, J.C. SHAH, J.C. RAMASWAMI, V. CITATION: 1968 (2) 466 F 1969 SC1917 (10) ACT: Income-tax Act (11 of 1922), s. 66(1), (2) and (4)--question not raised before Tribunal either in appeal or application to state a ca"
709,wakf board,8,1,ORG,Wakf Board,ACTOR,,1,informative,,"While the appeal was pending in this Court, the Muslim Wakf Board, Hyderabad, constituted under s. 9 of the Wakf Act, 1954, wrote to the Secretary of the trust that the trust was a Wakf within the meaning of the Wakf Act, and steps should b"
710,s. 28,8,1,PERSON,S. 28,ACTOR,,1,informative,,"While the appeal was pending in this Court, the Muslim Wakf Board, Hyderabad, constituted under s. 9 of the Wakf Act, 1954, wrote to the Secretary of the trust that the trust was a Wakf within the meaning of the Wakf Act, and steps should b"
711,trust fund,8,1,ORG,Trust Fund,ACTOR,,1,informative,,"The Trustees do hereby declare that they, the Trustees shall hold and stand possessed of the said shares, securities and moneys described in the schedule hereunder written and all the lights incidental or attached to the holding of the said"
712,indore,8,1,ORG,Indore,ACTOR,,1,informative,,"Thus, vide order dated 24.2.2011, this Court requested the District Judge, Indore to have an inspection of the lands in dispute in five villages and submit the report as who is in actual physical possession of the same."
713,s. 6(1,8,1,PERSON,S. 6(1,,,0,non-informative,,"J. This appeal by special leave is directed against the judgment of the Bombay High Court in Criminal Application No. 780 of 1981 filed by the respondent Haji Mastan Mirza, allowing the criminal appeal and declaring that the order of detent"
714,khalsa motors ltd,8,1,ORG,Khalsa Motors Ltd,,,0,non-informative,,State Of Haryana And vs Khalsa Motors Ltd.
715,nargacebai j. motishaw & others,8,1,ORG,Nargacebai J. Motishaw & Others,ACTOR,,1,informative,,"Mrs. Shirinbai as the sole executrix obtained probate of the said will from the High -Court and took possession of the Mrs. Shirinbai Maneckshaw & Others vs Nargacebai J. Motishaw & Others on 9 May, 1956 estate."
716,alka bose,8,1,PERSON,Alka Bose,ACTOR,,1,informative,,"Alka Bose vs Parmatma Devi & on 17 December, 2008 2009 (3) JHAR R 700, , (2009) 1 CLR 769 (SC), (2009) 3 KCCR 160, (2009) 3 ALLMR 447 (SC), (2009) 2 CAL HN 59, (2009) 2 MAD LJ 733, , (2009) 1 CIVILCOURTC 412, (2009) 1 RECCIVR 450, (2009) 1 "
717,rent control and eviction,8,1,ORG,Rent Control And Eviction,ACTOR,TENANCY-LEASE,1,informative,,"therefore, filed an application on 7-11-1961 before the Rent Control and Eviction Officer (Rent Controller) with a copy to the District Magistrate, Kanpur under Rule 6 of the Control of Rent and Eviction Rules, 1949framed under Section 17 o"
718,naurata singh &,8,1,ORG,Naurata Singh &,ACTOR,,1,informative,,"Surjit Kaur vs Naurata Singh & on 13 September, 2000 , , 2001 (4) LRI 474, (SC), 2000 (9) SRJ 97, (2000) 3 CIVILCOURTC 712, (2001) 1 LANDLR 588, (2001) 1 MAD LW 436, (2001) 1 PAT LJR 6, (2001) 1 PUN LR 218, , (2000) 6"
719,kheri,8,1,PERSON,Kheri,ACTOR,,1,informative,,"Raja Yuvraj Dutt Singh vs The Deputy Commissioner, Kheri on 5 May, 1970 COURT 1360"
720,revisional court,8,1,ORG,Revisional Court,ACTOR,,1,informative,,The Revisional Court held that the application was not maintainable under Section 115 of the Code of Civil Procedure as amended by UP Act No. 31/1978.
721,karnataka rent control act,8,1,ORG,Karnataka Rent Control Act,ACTOR,TENANCY-LEASE,1,informative,,"He, however, noticed that the first respondent was not inducted with the consent of the landlord and therefore his possession becomes unlawful and he is liable to be evicted under the provisions of Section 21(1)(f) of the Karnataka Rent Con"
722,central bank of india,8,1,ORG,Central Bank Of India,ACTOR,,1,informative,,"The banks which discounted the hundis and the drafts were the Kanpur branches of the Bank of Bikaner, the Bank of Bihar, the Bank of Baroda and the Central Bank of India and the firms were Matadin Bhagwandas and Nand Kishore Sitaram, both o"
723,k.s. dinakaran,8,1,PERSON,K.S. Dinakaran,ACTOR,,1,informative,,"The petitioner has engaged Shri K.S. Dinakaran, who is 67 years of age and is a very senior counsel having put in 43 years of practice."
724,vanka radhamanohari,8,1,PERSON,Vanka Radhamanohari,ACTOR,,1,informative,,"Vanka Radhamanohari vs Vanke Venkata Reddy And on 20 April, 1990 SMT."
725,gaon sabhas,8,1,PERSON,Gaon Sabhas,ACTOR,,1,informative,,"Under section 42, the State Government or the prescribed authority shall divide a district into circles, each circle comprising as many areas subject to the jurisdiction of Gaon Sabhas as may be expedient."
726,lic,8,1,ORG,Lic,,,0,non-informative,,"LIC rejected the claim on the grounds of lapse of the policy due to non-payment of premium, and that the actions of the employer did not bind LIC given that it was not an ‘agent’ of LIC."
727,100 per cent,8,1,MONEY,100 Per Cent,EVIDENCE,,1,informative,,The creation of 100 per cent reservation had the effect of making a new law under Para 5(1) without reference to the Act of State or Central legislation.
728,balaji,8,1,GPE,Balaji,EVIDENCE,,1,informative,,"In Balaji case the Supreme Court held that if a particular community is to be treated as educationally backward, the divergence between its educational level and that of the State average should not be marginal but substantial."
729,rama rai,8,1,PERSON,Rama Rai,ACTOR,,1,informative,,"On 02.11.2006, the Advocate General stated before the Court that, on receiving report of abduction of Lalmuni Devi and Rama Rai, investigation was started and in the night itself Rama Rai appeared before the Officer InCharge and the Sub Div"
730,gautam,8,1,PERSON,Gautam,ACTOR,,1,informative,,The Advocated General on 05.12.2006 submitted the interim report by Dr. Gautam.
731,special public prosecutor,8,1,ORG,Special Public Prosecutor,ACTOR,,1,informative,,"The Special Public Prosecutor for the State, instead of getting the witnesses examined before the Court, filed affidavits on their behalf reiterating their earlier statements."
732,elephant corridor,8,1,FAC,Elephant Corridor,EVIDENCE,,1,informative,,"The State Government will have to decide as to which Elephant Corridor has to be identified, i.e. corridor identified by the Central Government in the letter dated 11.08.2006, with the help of the State Forest Department and NGOs, or the pr"
733,exception 4,8,1,FAC,Exception 4,EVIDENCE,,1,informative,,On behalf of the appellant it was contended that the appellant’s case fell within Exception 4 to Section 300 of the I.P.C. which reads as under: “Exception 4.—
734,kamaljit singh,8,1,PERSON,Kamaljit Singh,ACTOR,,1,informative,,"Kamaljit Singh vs Sarabjit Singh on 2 September, 2014"
735,sarabjit singh,8,1,PERSON,Sarabjit Singh,ACTOR,,1,informative,,"Kamaljit Singh vs Sarabjit Singh on 2 September, 2014"
736,nia,8,1,ORG,Nia,ACTOR,,1,informative,,"Challenge in this appeal is to the judgment rendered by the Division Bench of the High Court of Jammu & Kashmir at Jammu in Criminal Appeal (D) No.11/2020 dated 27.04.2021 by which the judgment rendered by the Special Judge, National Invest"
737,study group,8,1,ORG,Study Group,ACTOR,,1,informative,,"Reference has been made to the Report dated 15 th September, 2003 of Study Group of the ICAI on the subject (hereinafter referred to as ‘Study Group Report’)."
738,fema,8,1,ORG,Fema,ACTOR,,1,informative,,"In the writ petition filed directly in this Court, apart from the averments noted above, it has been stated that PricewaterhouseCoopers Private Limited (PwCPL) and their network audit firms operating in India, apart from other violations, h"
739,ca,8,1,ORG,Ca,ACTOR,,1,informative,,"The obligations set out in respect of the CA firms in Network B as per the sub-licensee agreement give a clear indication that the CA firms are under the management and supervision of a non-CA firm for matters such as admission of partners,"
740,section 138 of the act,8,1,LAW,Section 138 Of The Act,RULE,,1,informative,,"It attains completion only with the M/S Escorts Ltd vs Rama Mukherjee on 17 September, 2013 failure of the drawer of the cheque to pay the cheque amount within the expiry of 15 days mentioned in clause (c) of the proviso to Section 138 of t"
741,ghousuddin khan,8,1,PERSON,Ghousuddin Khan,ACTOR,,1,informative,,"These paragraphs 17A, 17B, 17C and 17D of the plaint are extracted as follows:- “17A. According to para 7 of the written statement the defendant No.1 has asserted that the Matruka properties mentioned in the list enclosed with plaint at ser"
742,cs no,8,1,ORG,Cs No,ACTOR,,1,informative,,"Thereafter, the Receiver vide Application No. 73 of 1970 in CS No. 14 of 1958, submitted a scheme of partition with respect to the suit schedule movable and urban immovable properties."
743,faisal patti,8,1,PERSON,Faisal Patti,ACTOR,,1,informative,,"Insofar as the land in survey No.172 was concerned, it was found that Faisal Patti for 1978-79 had been issued by the Mandal Revenue Officer, Balangar, Ranga Reddy District mentioning 25 sub-divisions in Survey No. 172 made during the tenur"
744,jagir abolition regulations,8,1,ORG,Jagir Abolition Regulations,ACTOR,,1,informative,,"This Court took the view that the claim petitions were very much maintainable, as the claim petitioners were claiming rights independently under the provisions of the Jagir Abolition Regulations."
745,section 123,8,1,LAW,Section 123,RULE,,1,informative,,"The preclude, we are disposed to think, has become a necessity, as, in the case at hand, we are called upon to decide, what constitutes ""undue influence"" in the context of Section 260 of Tamil Krishnamoorthy vs Sivakumar & on 21 January, 20"
746,nota,8,1,ORG,Nota,ACTOR,,1,informative,,"Thus in a vibrant democracy, the voter must be given an opportunity to choose none of the above (NOTA) button, which will indeed compel the political parties to nominate a sound candidate."
747,barc,8,1,GPE,Barc,EVIDENCE,,1,informative,,"Baba Atomic Research Centre (BARC), formerly AEE, was also established in the year 1954 and research reactors namely Apsara, Cirus and Dhruva were set up in the year 1956, 1960 and 1985 respectively."
748,eia notification,8,1,ORG,Eia Notification,ACTOR,LAND-ACQUISITION,1,informative,,"Further it was stated that no construction was started after getting the above clearance, but only in the year 2002, by the time 1994 EIA Notification came into force, consequently, fresh environmental clearance had to be obtained."
749,gaurav hargovindbhai dave,8,1,PERSON,Gaurav Hargovindbhai Dave,ACTOR,,1,informative,,"No. 655 of 2018, Babulal Vardharji Gurjar vs Veer Gurjar Aluminium Industries Pvt ... on 14 August, 2020 which was in challenge before this Court in Gaurav Hargovindbhai Dave , to point out that NCLAT had taken the application under Section"
750,rameshbhai jivanbhai patel &,8,1,ORG,Rameshbhai Jivanbhai Patel &,ACTOR,,1,informative,,Appellant Vs. Rameshbhai Jivanbhai Patel & ...
751,division bench of,7,7,LAW,Division Bench Of,RULE,,1,informative,,"The appeal was heard by a Division Bench of the Patna High Court who, by their judgment dated August 29, 1947, dismissed the appeal of the plaintiff and allowed the crossobjections preferred by the second party defendants."
752,s.k. das,7,6,PERSON,S.K. Das,,,0,non-informative,,"Author: A.K. Sarkar Bench: A.K. Sarkar, S.K. Das, J.L. Kapur, M. Hidayatullah, Raghubar Dayal ROOP CHAND"
753,central,7,6,ORG,Central,ACTOR,,1,informative,,"It was later realised that the various Provincial Acts enacted by the several provincial legislatures should be replaced by a Central law and a Central Administration, So there was first a Central Ordinance (27 of 1949) and then the Adminis"
754,high court of allahabad,7,6,ORG,High Court Of Allahabad,ACTOR,,1,informative,,"One second appeal, the High Court of Allahabad held that the plaintiff has title to plot No. 3211 and the Municipality has not shown how the plaintiff has lost his title to the ""kacha"" strips of land forming part of the said plot."
755,bom,7,6,PERSON,Bom,,,0,non-informative,,"Schedule II of these Rules (1) A. I.R. 1958 Bom, 43. dealt with taxes for the benefit of Local Authorities and included : 7."
756,high court of judicature,7,6,ORG,High Court Of Judicature,ACTOR,,1,informative,,"From the Judgment and Order dated the 4th October, 1977 of the High Court of Judicature at Allahabad in Writ Petition No. 88 (Tax) of 1975."
757,p) ltd,7,6,ORG,P) Ltd,,,0,non-informative,,"Stiphen (P) Ltd., [1966] 3 S.C.R. 458, referred to."
758,chapter,7,6,WORK_OF_ART,Chapter,,,1,informative,,"Save as otherwise expressly provided in this Act, the provisions of the Code of Civil Procedure, 1908, shall apply to all proceedings under this Chapter."
759,section 482,7,5,LAW,Section 482,RULE,,1,informative,,The main question which falls for consideration in this case is whether the High Court was justified in not exercising its inherent powers under section 482 of the Code of Criminal Procedure in the facts and circumstances of this case? 15.
760,statute,7,5,ORG,Statute,ACTOR,,1,informative,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
