source,target,weight
1954356,25905678,1
1954356,89201315,1
1954356,39332960,1
1954356,180021015,1
1954356,68144071,1
1954356,183084420,1
1954356,10558664,1
1954356,1591621,1
1954356,887227,1
1954356,32251268,1
1954356,92616942,1
1954356,1833404,1
1954356,1842812,1
1954356,1792838,1
1954356,266087,1
1954356,261195,1
1954356,1917840,1
1954356,142077114,1
1954356,170488695,1
1954356,183945570,1
1833042,161831507,1
1141020,1031695,1
1141020,1418896,1
1141020,1182946,1
1141020,846754,1
1967040,789969,1
1967040,151299,1
1967040,711469,1
1967040,162850841,1
1967040,98254,1
1967040,1954990,1
1967040,885027,1
1967040,1849490,1
885778,515323,1
885778,85982409,1
885778,221518,1
885778,1671917,1
885778,23965,1
117343175,55374049,1
117343175,118381981,1
117343175,93056159,1
117343175,76869205,1
117343175,1102970,1
117343175,58320868,1
117343175,167447,1
117343175,8438375,1
117343175,176943212,1
117343175,83711893,1
117343175,30151149,1
117343175,106880620,1
117343175,445276,1
117343175,161831507,1
117343175,27986095,1
117343175,149410226,1
117343175,129934088,1
117343175,130177774,1
117343175,63026120,1
117343175,158161760,1
117343175,880360,1
117343175,73344,1
117343175,35710051,1
117343175,154684812,1
117343175,83057184,1
117343175,66967936,1
117343175,393016,1
117343175,70659390,1
117343175,53867724,1
117343175,1553978,1
117343175,27785566,1
117343175,1132672,1
117343175,153279772,1
117343175,237570,1
117343175,609295,1
117343175,73634590,1
117343175,1143713,1
117343175,53380450,1
117343175,130416865,1
117343175,100556214,1
117343175,117720930,1
117343175,90292408,1
117343175,91444475,1
117343175,176529644,1
117343175,48463019,1
117343175,72037409,1
117343175,39332960,1
653417,427855,1
653417,500379,1
653417,783690,1
653417,1325025,1
653417,1446285,1
653417,161831507,1
653417,383535,1
653417,1679850,1
653417,169363547,1
653417,206658,1
653417,743851,1
653417,310761,1
653417,153279772,1
653417,1150040,1
653417,1669932,1
653417,786824,1
653417,137639,1
653417,948250,1
653417,556297,1
653417,101688,1
653417,1712542,1
653417,1953529,1
653417,1418464,1
653417,1295761,1
653417,31217,1
653417,867674,1
653417,308396,1
653417,1969991,1
653417,1109872,1
653417,71645233,1
653417,226033,1
653417,1993072,1
653417,165229,1
653417,254439,1
653417,1052228,1
653417,1558054,1
653417,82577596,1
653417,1176020,1
653417,1728537,1
653417,1603215,1
653417,1067982,1
653417,445276,1
653417,509428,1
653417,214169,1
653417,1439055,1
653417,1068433,1
531294,427855,1
531294,783690,1
531294,1325025,1
531294,1446285,1
531294,161831507,1
531294,445276,1
531294,500379,1
531294,206658,1
531294,310761,1
531294,153279772,1
531294,1150040,1
531294,1669932,1
531294,1164880,1
531294,786824,1
531294,137639,1
531294,948250,1
531294,556297,1
531294,101688,1
531294,1712542,1
531294,1659104,1
531294,1953529,1
531294,1418464,1
531294,1295761,1
531294,31217,1
531294,867674,1
531294,1569253,1
531294,1109872,1
531294,71645233,1
531294,169363547,1
531294,226033,1
531294,1993072,1
531294,165229,1
531294,254439,1
531294,1148896,1
531294,1392078,1
531294,82577596,1
531294,1176020,1
531294,1728537,1
531294,1603215,1
531294,1067982,1
531294,195753,1
531294,509428,1
531294,214169,1
531294,1439055,1
531294,1068433,1
1072049,789969,1
1072049,27335343,1
1072049,7651207,1
1072049,1369261,1
1072049,155925955,1
1072049,492579,1
1072049,1869908,1
1072049,1692812,1
1072049,906566,1
1072049,694023,1
1072049,114118,1
1072049,1951329,1
1072049,1117531,1
1072049,1331148,1
1072049,1004857,1
1072049,960601,1
1072049,1128182,1
1072049,1721837,1
1072049,181948510,1
1072049,74762081,1
1072049,47944,1
1072049,90465563,1
1072049,1954990,1
1072049,115845812,1
1072049,1339020,1
1072049,1512527,1
353083,55374049,1
353083,393016,1
353083,93056159,1
353083,118381981,1
353083,97116359,1
353083,76869205,1
353083,1102970,1
353083,58320868,1
353083,67624938,1
353083,167447,1
353083,8438375,1
353083,30151149,1
353083,106880620,1
353083,445276,1
353083,161831507,1
353083,27986095,1
353083,149410226,1
353083,129934088,1
353083,176943212,1
353083,160858561,1
353083,130177774,1
353083,63026120,1
353083,158161760,1
353083,880360,1
353083,73344,1
353083,237570,1
353083,35710051,1
353083,154684812,1
353083,1974848,1
353083,83057184,1
353083,66967936,1
353083,70659390,1
353083,39040642,1
353083,1553978,1
353083,27785566,1
353083,1132672,1
353083,153279772,1
353083,90292408,1
353083,609295,1
353083,73634590,1
353083,1143713,1
353083,130416865,1
353083,100556214,1
353083,117720930,1
353083,91444475,1
353083,176529644,1
353083,48463019,1
353083,72037409,1
353083,39332960,1
869781,1015123,1
869781,130486927,1
869781,1481519,1
869781,263777,1
869781,492977,1
869781,39940368,1
869781,202193,1
869781,6144210,1
869781,124614340,1
869781,164692235,1
869781,184839265,1
869781,179446748,1
869781,664727,1
869781,332955,1
869781,789969,1
869781,15764040,1
869781,82577596,1
869781,149719597,1
869781,101796399,1
869781,98725211,1
869781,31209600,1
869781,197705240,1
869781,93056159,1
869781,91479258,1
869781,160683290,1
869781,101601204,1
869781,151406065,1
869781,68144071,1
869781,10558664,1
869781,30239472,1
869781,51434435,1
869781,1351947,1
869781,113996664,1
869781,645946,1
869781,49825840,1
869781,1427856,1
869781,262260,1
869781,42364846,1
869781,989492,1
869781,318251,1
869781,1659104,1
869781,609139,1
869781,691208,1
869781,260256,1
611046,1317393,1
611046,354660,1
611046,85586,1
611046,1865420,1
611046,642645,1
611046,810952,1
611046,1747121,1
611046,1550731,1
611046,1968370,1
611046,102957838,1
1652416,80896406,1
1652416,814692,1
1652416,1011888,1
1652416,170412617,1
1652416,94477507,1
1652416,242776,1
1652416,1012363,1
1652416,987299,1
1652416,196373842,1
1652416,45753236,1
1652416,31991320,1
1652416,530170,1
1652416,137951398,1
1652416,1241624,1
435006,8438375,1
435006,65650791,1
435006,64136097,1
435006,198655496,1
435006,1834462,1
396336,1953529,1
396336,191925,1
396336,619381,1
396336,1917328,1
396336,913910,1
396336,955216,1
684433,161831507,1
904979,163138661,1
904979,28802319,1
904979,118534992,1
904979,8438375,1
904979,80042,1
904979,131397183,1
904979,135275,1
904979,29397628,1
1684167,461032,1
1684167,970959,1
1684167,128918,1
1684167,1733204,1
1684167,272113,1
561287,565781,1
561287,123952987,1
561287,1880129,1
561287,482978,1
561287,1536922,1
561287,508866,1
561287,515323,1
561287,1647933,1
561287,1154330,1
990746,789969,1
990746,1954990,1
990746,1369261,1
990746,1843082,1
990746,155925955,1
1814791,476269,1
1814791,93056159,1
1814791,230117,1
1814791,4015076,1
1814791,789287,1
1814791,127613744,1
1814791,210155,1
1814791,254952,1
1814791,1925530,1
1814791,117780,1
1814791,1369884,1
1814791,161831507,1
1814791,445276,1
1814791,1699496,1
1814791,487667,1
1814791,4890801,1
1814791,1532014,1
1814791,8438375,1
1814791,1300179,1
1814791,1262401,1
1814791,8019,1
1814791,371725,1
1814791,131782864,1
1814791,199256722,1
1814791,1659639,1
1814791,574894,1
1814791,77052,1
1814791,1020147,1
1814791,22282476,1
1814791,137821641,1
1814791,63026120,1
1814791,297117,1
1814791,1823046,1
1814791,27986095,1
1814791,23871628,1
1814791,149329010,1
1814791,118040992,1
1814791,41828204,1
1814791,35376178,1
1814791,1618955,1
1814791,24598525,1
1814791,7484646,1
1814791,173668974,1
1814791,493558,1
1814791,516789,1
1814791,176529644,1
1814791,90292408,1
1814791,159413968,1
1814791,3586353,1
1814791,515323,1
1814791,83057184,1
1814791,68249167,1
1814791,13222347,1
1814791,133026953,1
1814791,41202029,1
1814791,129934088,1
1814791,106667942,1
1814791,176943212,1
1814791,70659390,1
1814791,600234,1
1814791,237570,1
1814791,710884,1
1814791,1003447,1
1814791,1134140,1
1814791,369702,1
1814791,1270258,1
1814791,235968,1
1814791,115845812,1
1814791,105362878,1
1814791,854952,1
1814791,1205651,1
1814791,1059693,1
1814791,560714,1
1814791,1345908,1
1814791,66967936,1
1814791,393016,1
1814791,1597349,1
1814791,698317,1
1814791,990669,1
1814791,1119830,1
1814791,1143713,1
1814791,1090693,1
1814791,1164880,1
1814791,101688,1
1814791,999013,1
1814791,1682952,1
1814791,1331149,1
1814791,452231,1
1814791,497125,1
1814791,667558,1
1814791,373660,1
1814791,896717,1
1814791,818031,1
1814791,171441475,1
1814791,9942526,1
1814791,108791183,1
1814791,142938012,1
1814791,83711893,1
1814791,28978706,1
1814791,37203826,1
1814791,538544,1
1814791,72173496,1
1814791,25582677,1
1814791,70107672,1
1814791,1991903,1
1814791,106880620,1
1814791,1143594,1
1814791,189421038,1
1814791,356807,1
1814791,138507568,1
1814791,243691,1
1814791,190803,1
1814791,1406924,1
1814791,158646,1
1814791,860592,1
1814791,3751816,1
1814791,97546650,1
1814791,115451756,1
1814791,41479243,1
1814791,83045194,1
1814791,107411642,1
306099,210155,1
306099,230117,1
306099,254952,1
306099,93056159,1
306099,142938012,1
306099,1925530,1
306099,28925495,1
306099,117780,1
306099,90292408,1
306099,106880620,1
306099,1369884,1
306099,161831507,1
306099,445276,1
306099,1699496,1
306099,487667,1
306099,27986095,1
306099,4890801,1
306099,176943212,1
306099,8438375,1
306099,1300179,1
306099,1262401,1
306099,8019,1
306099,371725,1
306099,131782864,1
306099,199256722,1
306099,1659639,1
306099,574894,1
306099,77052,1
306099,1020147,1
306099,526554,1
306099,131657586,1
306099,297117,1
306099,1823046,1
306099,5134648,1
306099,80868843,1
306099,476269,1
306099,1618955,1
306099,24598525,1
306099,36047132,1
306099,493558,1
306099,516789,1
306099,515323,1
306099,907456,1
306099,68249167,1
306099,13222347,1
306099,164069845,1
306099,41202029,1
306099,613060,1
306099,106667942,1
306099,882231,1
306099,1549763,1
306099,600234,1
306099,9245922,1
306099,4015076,1
306099,127613744,1
306099,237570,1
306099,76734933,1
306099,125456169,1
306099,139567537,1
306099,1134140,1
306099,46177844,1
306099,7484646,1
306099,369702,1
306099,1270258,1
306099,129934088,1
306099,70659390,1
306099,189421038,1
306099,115845812,1
306099,105362878,1
306099,43524555,1
306099,104809934,1
306099,35856196,1
306099,41828204,1
306099,1420126,1
306099,41479243,1
306099,854952,1
306099,1205651,1
306099,70125058,1
306099,1059693,1
306099,103078044,1
306099,176529644,1
306099,560714,1
306099,1345908,1
306099,122035266,1
306099,83057184,1
306099,70202220,1
306099,66967936,1
306099,393016,1
306099,1597349,1
306099,698317,1
306099,1995256,1
306099,990669,1
306099,1119830,1
306099,1143713,1
306099,1090693,1
306099,1164880,1
306099,101688,1
306099,999013,1
306099,1682952,1
306099,1331149,1
306099,452231,1
306099,497125,1
306099,667558,1
306099,373660,1
306099,896717,1
306099,818031,1
306099,171441475,1
306099,133026953,1
306099,9942526,1
306099,108791183,1
306099,83711893,1
306099,28978706,1
306099,37203826,1
306099,538544,1
306099,72173496,1
306099,34416384,1
306099,25582677,1
306099,70107672,1
306099,1991903,1
306099,1143594,1
306099,356807,1
306099,20925349,1
306099,243691,1
306099,190803,1
306099,158646,1
306099,860592,1
306099,3751816,1
306099,97546650,1
306099,42971076,1
306099,128439834,1
306099,1364341,1
306099,882644,1
306099,500307,1
306099,1406924,1
306099,1456610,1
306099,1659104,1
306099,112381755,1
306099,442204,1
306099,471931,1
306099,173098319,1
306099,46406879,1
306099,178024069,1
306099,1791268,1
306099,57623428,1
306099,36857825,1
306099,62710139,1
306099,1276952,1
306099,171062072,1
306099,118381981,1
306099,91444475,1
306099,185516964,1
306099,112231003,1
306099,125448728,1
306099,47049106,1
306099,23849220,1
306099,87824420,1
306099,39615003,1
306099,127060,1
306099,1336375,1
306099,772605,1
306099,964643,1
306099,1001004,1
306099,504536,1
732516,981147,1
732516,445276,1
732516,908644,1
732516,1712542,1
732516,1218877,1
732516,1663045,1
732516,1446285,1
732516,427855,1
732516,191397,1
732516,740255,1
732516,112256,1
732516,1178269,1
732516,1780550,1
732516,1670661,1
732516,1983271,1
732516,647828,1
732516,1626674,1
732516,1484838,1
732516,1417508,1
732516,1645292,1
732516,1737367,1
732516,1583711,1
732516,782541,1
732516,1566826,1
732516,1153915,1
732516,1684469,1
732516,1791573,1
732516,633034,1
732516,282977,1
732516,1695348,1
133024,515323,1
133024,171398,1
133024,1626845,1
133024,1916188,1
133024,243421,1
133024,3482533,1
133024,812810,1
133024,942668,1
133024,102524,1
133024,1476197,1
133024,1444379,1
133024,645212,1
133024,1544897,1
133024,1566753,1
133024,1907896,1
133024,1643769,1
330852,108841579,1
330852,147592319,1
330852,515323,1
330852,1832764,1
330852,180558,1
330852,1025069,1
330852,1039638,1
330852,549509,1
330852,149410226,1
330852,359671,1
330852,1198432,1
330852,1284931,1
330852,1580235,1
153292751,1258372,1
153292751,763672,1
153292751,1011035,1
153292751,724142,1
153292751,1540253,1
153292751,1560742,1
153292751,999134,1
153292751,1290514,1
153292751,1791573,1
153292751,1667941,1
153292751,1442106,1
59912,445276,1
59912,1290514,1
59912,1487146,1
59912,1258372,1
59912,763672,1
59912,1011035,1
59912,724142,1
59912,1540253,1
59912,1560742,1
59912,999134,1
59912,1791573,1
59912,1667941,1
59912,1442106,1
701899,1548783,1
1870386,161831507,1
1870386,1921768,1
1870386,1412375,1
1870386,1732642,1
1870386,71904,1
1870386,1221097,1
1870386,1317393,1
1870386,882644,1
1870386,1312011,1
1423714,1405190,1
1423714,1551554,1
1423714,1317393,1
1423714,1154330,1
1423714,1799967,1
1423714,41222139,1
1423714,1286874,1
1423714,1642495,1
1423714,1154131,1
1423714,103447,1
1049882,515323,1
1049882,80042,1
1049882,709717,1
1049882,349627,1
1049882,556297,1
1049882,1317393,1
1049882,3482533,1
40472258,981147,1
40472258,44866856,1
40472258,15429650,1
40472258,176492173,1
40472258,1712542,1
40472258,1857950,1
40472258,43023,1
40472258,456839,1
40472258,1142233,1
40472258,1218090,1
40472258,1199182,1
40472258,581566,1
40472258,1024002,1
40472258,1378441,1
40472258,1569253,1
40472258,1382411,1
40472258,1709581,1
40472258,345634,1
40472258,37577400,1
40472258,84767110,1
40472258,1782826,1
40472258,1641007,1
40472258,631708,1
40472258,77052,1
40472258,237570,1
1382411,84767110,1
1382411,1709581,1
1382411,44866856,1
1382411,581566,1
1382411,34776269,1
1382411,164248007,1
1382411,8438375,1
1382411,176492173,1
1382411,445276,1
1382411,1199182,1
1382411,1953529,1
1382411,1782826,1
1382411,1262401,1
1382411,164902886,1
1382411,1293832,1
1382411,1456610,1
1382411,493664,1
1382411,237570,1
1382411,168664138,1
1382411,129869474,1
959860,44866856,1
959860,1142233,1
959860,581566,1
959860,1218090,1
959860,981147,1
959860,84767110,1
959860,176492173,1
959860,1712542,1
959860,1857950,1
959860,43023,1
959860,456839,1
959860,1199182,1
959860,1024002,1
959860,1378441,1
959860,1569253,1
959860,1382411,1
959860,345634,1
959860,1709581,1
959860,37577400,1
959860,1682669,1
959860,1782826,1
959860,1641007,1
959860,631708,1
959860,815602,1
959860,77052,1
959860,237570,1
432276,1317393,1
432276,1453009,1
432276,436447,1
432276,429242,1
432276,399972,1
432276,880040,1
180091,1710258,1
180091,1886825,1
180091,171398,1
440324,1697087,1
440324,616903,1
440324,93056159,1
440324,1280300,1
440324,1406924,1
440324,171441475,1
440324,1456610,1
440324,1659104,1
440324,1015123,1
440324,176943212,1
440324,129934088,1
440324,154274948,1
440324,110654976,1
440324,786824,1
440324,1370684,1
440324,210155,1
440324,171240,1
440324,9349965,1
440324,528655,1
440324,182875226,1
440324,179074363,1
440324,594125,1
440324,1415462,1
440324,656658,1
440324,127482014,1
440324,172525301,1
440324,55198661,1
440324,161831507,1
440324,31699911,1
440324,17047024,1
440324,1964203,1
440324,237570,1
440324,1937835,1
440324,735354,1
440324,691208,1
440324,176529644,1
1913374,930621,1
1913374,500307,1
1913374,1799967,1
1913374,1317393,1
1913374,472868,1
1913374,1035827,1
1913374,1832450,1
1747883,119552888,1
1747883,1035827,1
1747883,706842,1
1747883,967999,1
1747883,63755459,1
334293,93056159,1
334293,4377279,1
334293,63026120,1
334293,49206799,1
334293,56587736,1
334293,189421038,1
334293,367586,1
334293,70125058,1
334293,146508872,1
334293,192382714,1
334293,476269,1
334293,130177774,1
334293,177063833,1
334293,1142233,1
334293,83711893,1
334293,110155406,1
334293,1378441,1
334293,1218090,1
334293,94324342,1
334293,187941440,1
334293,34776269,1
334293,8438375,1
334293,1671917,1
334293,21887562,1
334293,121154970,1
334293,32813850,1
334293,172404059,1
334293,129385746,1
334293,48160844,1
334293,181779399,1
334293,164087852,1
334293,74899478,1
334293,18332625,1
334293,35426687,1
334293,20938320,1
334293,99667156,1
334293,20470858,1
334293,135750909,1
334293,31499666,1
334293,160995535,1
334293,110658244,1
334293,144170568,1
334293,94271868,1
334293,175150427,1
334293,42340866,1
334293,116137678,1
334293,80624421,1
334293,172357920,1
334293,237570,1
334293,149410226,1
334293,1546265,1
334293,1041127,1
334293,882976,1
334293,150948751,1
334293,48463019,1
334293,398609,1
334293,176529644,1
334293,173593657,1
334293,87312397,1
334293,95392112,1
334293,75759511,1
334293,1551554,1
334293,4354,1
334293,20268135,1
334293,128439834,1
334293,124450258,1
334293,5991724,1
334293,258019,1
334293,134715,1
334293,456839,1
334293,1256541,1
334293,148295192,1
334293,65658709,1
334293,194442572,1
334293,1891720,1
334293,99740046,1
334293,1540780,1
334293,194927016,1
334293,166077659,1
334293,140909350,1
334293,177745789,1
334293,102931282,1
987059,445276,1
987059,989759,1
987059,1953529,1
1097199,1054881,1
1097199,367586,1
1097199,34776269,1
1097199,1712542,1
1097199,772605,1
1097199,27622490,1
1097199,77052,1
1097199,4354,1
1097199,93056159,1
1097199,1142233,1
1443323,1569253,1
1443323,1499794,1
1443323,1985227,1
732701,99335307,1
732701,99131461,1
732701,8438375,1
732701,151469296,1
732701,163138661,1
732701,46579982,1
732701,69660052,1
732701,7911239,1
732701,645212,1
732701,4295421,1
732701,1879190,1
1350925,1326844,1
1350925,194391,1
1350925,1062869,1
1350925,1258372,1
1350925,48127346,1
1350925,970675,1
1350925,513074,1
1350925,752609,1
1350925,974300,1
1350925,1243353,1
1350925,445276,1
258864,9352079,1
258864,176858526,1
258864,41435504,1
258864,981147,1
258864,45759,1
258864,18291589,1
258864,199132673,1
258864,122539580,1
258864,75597284,1
258864,437710,1
258864,789969,1
258864,187359479,1
45759,136460171,1
45759,166932404,1
45759,1580975,1
45759,1015123,1
45759,108209556,1
45759,49756294,1
45759,660119,1
45759,282612,1
45759,964643,1
45759,1370684,1
45759,981147,1
45759,27622490,1
45759,63817165,1
45759,191778289,1
45759,59006183,1
45759,105634226,1
45759,186676878,1
45759,71645233,1
45759,93056159,1
45759,354224,1
45759,1432437,1
45759,176694366,1
45759,1955809,1
45759,37191,1
45759,9352079,1
45759,8643255,1
45759,1712542,1
45759,34776269,1
45759,139381280,1
45759,367586,1
45759,77301481,1
45759,191618327,1
45759,695063,1
45759,1555093,1
45759,89396852,1
497638,93056159,1
497638,34776269,1
497638,1897847,1
497638,176943212,1
497638,133026953,1
497638,90292408,1
497638,783690,1
497638,70202220,1
497638,237570,1
497638,4890801,1
497638,176529644,1
497638,129934088,1
497638,229269,1
497638,697591,1
1156375,1141020,1
1156375,846754,1
1156375,1201431,1
1156375,1653414,1
1156375,1921768,1
1156375,1925373,1
1962138,590274,1
309469,1218090,1
309469,1024002,1
309469,1801593,1
309469,981147,1
309469,1712542,1
309469,1636756,1
309469,1142233,1
309469,1010805,1
309469,367586,1
309469,1569253,1
309469,106068895,1
309469,5441611,1
309469,79739352,1
406910,163370428,1
406910,143017354,1
406910,11691178,1
406910,144916388,1
406910,189396572,1
406910,149572883,1
406910,68918358,1
406910,1832764,1
406910,186018139,1
406910,187393293,1
406910,70688450,1
1949862,445276,1
1949862,1569253,1
1949862,37788,1
1949862,367586,1
1949862,1199182,1
1949862,668722,1
1949862,1977541,1
1949862,476269,1
1949862,184660633,1
1949862,230117,1
1949862,1007660,1
1949862,655638,1
1949862,1942013,1
1949862,609295,1
1949862,211089,1
1949862,1010805,1
1949862,1257136,1
1949862,454796,1
1949862,276703,1
1949862,66955,1
1949862,1865807,1
1949862,1522870,1
1949862,1560742,1
1949862,409589,1
1949862,455468,1
1949862,1227795,1
1949862,4266,1
1949862,1532014,1
1949862,329571,1
1949862,34776269,1
1949862,1461463,1
1949862,710884,1
1949862,245740,1
1949862,487667,1
1949862,783690,1
1949862,235968,1
1949862,789287,1
1949862,134715,1
1949862,4354,1
184660633,1712542,1
184660633,772605,1
184660633,367586,1
184660633,445276,1
184660633,1007660,1
184660633,1571667,1
184660633,1709471,1
184660633,486232,1
184660633,609139,1
184660633,134715,1
184660633,1164912,1
184660633,622891,1
184660633,390500,1
184660633,7832,1
184660633,8791295,1
184660633,456839,1
184660633,1378441,1
184660633,1218090,1
184660633,663245,1
184660633,976663,1
184660633,4354,1
184660633,334293,1
184660633,134097646,1
184660633,476269,1
184660633,609295,1
184660633,211089,1
184660633,1987997,1
184660633,1163710,1
184660633,701797,1
184660633,92616942,1
184660633,1249080,1
184660633,1887434,1
184660633,245740,1
184660633,654149,1
184660633,1569253,1
184660633,1199182,1
184660633,1857950,1
184660633,872569,1
184660633,209430,1
184660633,234946,1
184660633,1721335,1
184660633,1304459,1
184660633,1902247,1
184660633,913183,1
184660633,13443723,1
184660633,655638,1
184660633,581566,1
948916,445276,1
948916,1346484,1
948916,1228992,1
