source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,8292061,1176462|9548727,8258253,Yerkes v. Keokuk Northern Line Packet Co.,https://www.courtlistener.com/opinion/8292061/yerkes-v-keokuk-northern-line-packet-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,90149,1176462|9548727,90149,"The"" City of Panama""",https://www.courtlistener.com/opinion/90149/the-city-of-panama/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,7057144,1176462|9548727,6960869,Eagle Packet Co. v. Defries,https://www.courtlistener.com/opinion/7057144/eagle-packet-co-v-defries/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,7136398,1176462|9548727,7044056,Garfield v. State,https://www.courtlistener.com/opinion/7136398/garfield-v-state/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3918582,1176462|9548727,3665011,White v. Norfolk & Southern Railroad,https://www.courtlistener.com/opinion/3918582/white-v-norfolk-southern-railroad/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,5717132,1176462|9548727,5567196,Georgia Railroad & Banking Co. v. Lybrend,https://www.courtlistener.com/opinion/5717132/georgia-railroad-banking-co-v-lybrend/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,9312361,1176462|9548727,9307541,Ewing v. Goode,https://www.courtlistener.com/opinion/9312361/ewing-v-goode/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6607694,1176462|9548727,6483648,Republic of Hawaii v. Luning,https://www.courtlistener.com/opinion/6607694/republic-of-hawaii-v-luning/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6607865,1176462|9548727,6483830,Merricourt v. Norwalk Fire Insurance,https://www.courtlistener.com/opinion/6607865/merricourt-v-norwalk-fire-insurance/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6608720,1176462|9548727,6484807,Sylva v. Wailuku Sugar Co.,https://www.courtlistener.com/opinion/6608720/sylva-v-wailuku-sugar-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6608798,1176462|9548727,6484897,Territory of Hawaii v. Furomori,https://www.courtlistener.com/opinion/6608798/territory-of-hawaii-v-furomori/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6382873,1176462|9548727,6251974,McBride v. McNally,https://www.courtlistener.com/opinion/6382873/mcbride-v-mcnally/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6609332,1176462|9548727,6485511,Territory v. Goo Wan Hoy,https://www.courtlistener.com/opinion/6609332/territory-v-goo-wan-hoy/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6609462,1176462|9548727,6485648,Kaili v. Inter-Island Steam Navigation Co.,https://www.courtlistener.com/opinion/6609462/kaili-v-inter-island-steam-navigation-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6609471,1176462|9548727,6485657,Morgan v. Yamada,https://www.courtlistener.com/opinion/6609471/morgan-v-yamada/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6609522,1176462|9548727,6485711,Pires v. Kala Kanahuna,https://www.courtlistener.com/opinion/6609522/pires-v-kala-kanahuna/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,6609575,1176462|9548727,6485773,Territory v. Buick,https://www.courtlistener.com/opinion/6609575/territory-v-buick/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3413506,1176462|9548727,3408786,Borowsky v. Honolulu Rapid Transit Co.,https://www.courtlistener.com/opinion/3413506/borowsky-v-honolulu-rapid-transit-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3412622,1176462|9548727,3407800,Ellis Ex Rel. Ellis v. Mutual Telephone Co.,https://www.courtlistener.com/opinion/3412622/ellis-ex-rel-ellis-v-mutual-telephone-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3412582,1176462|9548727,3407758,Territory v. Rodrigues,https://www.courtlistener.com/opinion/3412582/territory-v-rodrigues/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3574052,1176462|9548727,3554323,Masterson v. Berlin Street Railway,https://www.courtlistener.com/opinion/3574052/masterson-v-berlin-street-railway/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,5181774,1176462|9548727,5003627,Fidelity Union Casualty Co. v. Dapperman,https://www.courtlistener.com/opinion/5181774/fidelity-union-casualty-co-v-dapperman/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,1564890,1176462|9548727,1564890,Pullman Co. v. Hall,https://www.courtlistener.com/opinion/1564890/pullman-co-v-hall/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3413626,1176462|9548727,3408913,Tsuruoka Ex Rel. Tsuruoka v. Lukens,https://www.courtlistener.com/opinion/3413626/tsuruoka-ex-rel-tsuruoka-v-lukens/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3412485,1176462|9548727,3407650,Choy v. Otaguro,https://www.courtlistener.com/opinion/3412485/choy-v-otaguro/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,4212013,1176462|9548727,3984633,Nelson v. Lott,https://www.courtlistener.com/opinion/4212013/nelson-v-lott/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,3413156,1176462|9548727,3408404,Ciacci v. Woolley,https://www.courtlistener.com/opinion/3413156/ciacci-v-woolley/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,4221729,1176462|9548727,3997183,Lang v. Puget Sound Navigation Co.,https://www.courtlistener.com/opinion/4221729/lang-v-puget-sound-navigation-co/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,8760189,1176462|9548727,8743537,Morrison v. Coombs,https://www.courtlistener.com/opinion/8760189/morrison-v-coombs/
courtlistener,1176462,1176462|9548727|9548728,"Cozine v. Hawaiian Catamaran, Ltd.",1966,https://www.courtlistener.com/opinion/1176462/cozine-v-hawaiian-catamaran-ltd/,8764613,1176462|9548727,8748055,Morrison v. Coombs,https://www.courtlistener.com/opinion/8764613/morrison-v-coombs/
