source,source_cluster_id,source_opinion_ids,source_case,source_year,source_url,cited_cluster_id,citing_opinion_ids,cited_opinion_ids,cited_name,cited_url
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4144441,2621694|9788982,3908065,Gaddy v. First National Bank,https://www.courtlistener.com/opinion/4144441/gaddy-v-first-national-bank/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4074815,2621694|9788982,3832886,Corbin v. Wilkinson,https://www.courtlistener.com/opinion/4074815/corbin-v-wilkinson/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4073821,2621694|9788982,3831837,Security Building & Loan Ass'n v. Ward,https://www.courtlistener.com/opinion/4073821/security-building-loan-assn-v-ward/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4061195,2621694|9788982,3818794,In Re Allen's Guardianship,https://www.courtlistener.com/opinion/4061195/in-re-allens-guardianship/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4067134,2621694|9788982,3824919,Commons v. Bragg,https://www.courtlistener.com/opinion/4067134/commons-v-bragg/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,4076358,2621694|9788982,3834504,Edmond Independent School Dist. No. 12 v. Oklahoma Tax Commission,https://www.courtlistener.com/opinion/4076358/edmond-independent-school-dist-no-12-v-oklahoma-tax-commission/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,5316227,2621694|9788983,5144888,Special Indemnity Fund v. Reynolds,https://www.courtlistener.com/opinion/5316227/special-indemnity-fund-v-reynolds/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1159470,2621694|9788982,1159470,National Gypsum Company v. Brewster,https://www.courtlistener.com/opinion/1159470/national-gypsum-company-v-brewster/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1395712,2621694|9788982,1395712,Meadows v. Meadows,https://www.courtlistener.com/opinion/1395712/meadows-v-meadows/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2612176,2621694|9788982,2612176,Beavin v. State Ex Rel. Department of Public Safety,https://www.courtlistener.com/opinion/2612176/beavin-v-state-ex-rel-department-of-public-safety/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1173034,2621694|9788982,1173034,Special Indemnity Fund v. Treadwell,https://www.courtlistener.com/opinion/1173034/special-indemnity-fund-v-treadwell/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2616242,2621694|9788983,2616242,Reynolds v. Special Indemnity Fund,https://www.courtlistener.com/opinion/2616242/reynolds-v-special-indemnity-fund/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1227175,2621694|9788983,1227175,State Ex Rel. Trimble v. City of Moore,https://www.courtlistener.com/opinion/1227175/state-ex-rel-trimble-v-city-of-moore/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1203094,2621694|9788982,9560856,Crocker v. Crocker,https://www.courtlistener.com/opinion/1203094/crocker-v-crocker/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1188989,2621694|9788982,1188989,"Wal-Mart Stores, Inc. v. Switch",https://www.courtlistener.com/opinion/1188989/wal-mart-stores-inc-v-switch/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1192517,2621694|9788982,1192517,Lang v. Landeros,https://www.courtlistener.com/opinion/1192517/lang-v-landeros/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2613569,2621694|9788982,2613569,In Re Anderson,https://www.courtlistener.com/opinion/2613569/in-re-anderson/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1224030,2621694|9788982,9568123,Marty v. Board of Education,https://www.courtlistener.com/opinion/1224030/marty-v-board-of-education/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2616996,2621694|9788982,2616996,Young v. Rimer,https://www.courtlistener.com/opinion/2616996/young-v-rimer/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1426853,2621694|9788983,1426853,PFL Life Insurance Co. v. Franklin,https://www.courtlistener.com/opinion/1426853/pfl-life-insurance-co-v-franklin/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1428220,2621694|9788982,1428220,In Re Alexander,https://www.courtlistener.com/opinion/1428220/in-re-alexander/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,1356272,2621694|9788983,1356272,Hall v. Globe Life & Accident Insurance Co.,https://www.courtlistener.com/opinion/1356272/hall-v-globe-life-accident-insurance-co/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2599542,2621694|9788982,2599542,Upton v. State Ex Rel. Department of Corrections,https://www.courtlistener.com/opinion/2599542/upton-v-state-ex-rel-department-of-corrections/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2588718,2621694|9788983,2588718,Jobe v. American Legion 7,https://www.courtlistener.com/opinion/2588718/jobe-v-american-legion-7/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2549213,2621694|9788983,9784723,Holleyman v. Holleyman,https://www.courtlistener.com/opinion/2549213/holleyman-v-holleyman/
courtlistener,2621694,2621694|9788982|9788983,Strong v. Laubach,2004,https://www.courtlistener.com/opinion/2621694/strong-v-laubach/,2639064,2621694|9788983,2639064,Amos v. Spiro Public Schools,https://www.courtlistener.com/opinion/2639064/amos-v-spiro-public-schools/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,4210181,2930409,3982532,Wichita Falls & Oklahoma Railway Co. v. Pepper,https://www.courtlistener.com/opinion/4210181/wichita-falls-oklahoma-railway-co-v-pepper/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1664628,2930409,9666295,Archer v. Griffith,https://www.courtlistener.com/opinion/1664628/archer-v-griffith/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1679674,2930409,1679674,"Sell v. C. B. Smith Volkswagen, Inc.",https://www.courtlistener.com/opinion/1679674/sell-v-c-b-smith-volkswagen-inc/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1677311,2930409,1677311,Jackson v. Van Winkle,https://www.courtlistener.com/opinion/1677311/jackson-v-van-winkle/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1630426,2930409,1630426,Washburn v. Krenek,https://www.courtlistener.com/opinion/1630426/washburn-v-krenek/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2462252,2930409,2462252,Navarette v. Temple Independent School District,https://www.courtlistener.com/opinion/2462252/navarette-v-temple-independent-school-district/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2432012,2930409,9771878,Island Recreational Development Corp. v. Republic of Texas Savings Ass'n,https://www.courtlistener.com/opinion/2432012/island-recreational-development-corp-v-republic-of-texas-savings-assn/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2402201,2930409,9766687,Castleberry v. Branscum,https://www.courtlistener.com/opinion/2402201/castleberry-v-branscum/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2434180,2930409,9772437,"Placencio v. Allied Industrial International, Inc.",https://www.courtlistener.com/opinion/2434180/placencio-v-allied-industrial-international-inc/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1512167,2930409,9644527,"Qantel Business Systems, Inc. v. Custom Controls Co.",https://www.courtlistener.com/opinion/1512167/qantel-business-systems-inc-v-custom-controls-co/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2455468,2930409,9776532,"Donwerth v. Preston II Chrysler-Dodge, Inc.",https://www.courtlistener.com/opinion/2455468/donwerth-v-preston-ii-chrysler-dodge-inc/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1775204,2930409,1775204,Splettstosser v. Myer,https://www.courtlistener.com/opinion/1775204/splettstosser-v-myer/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2381532,2930409,2381532,Zieben v. Platt,https://www.courtlistener.com/opinion/2381532/zieben-v-platt/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1497359,2930409,1497359,Texas Department of Human Services v. E.B.,https://www.courtlistener.com/opinion/1497359/texas-department-of-human-services-v-eb/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1532424,2930409,1532424,Rankin v. Atwood Vacuum MacHine Co.,https://www.courtlistener.com/opinion/1532424/rankin-v-atwood-vacuum-machine-co/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2447621,2930409,2447621,Rankin v. ATWOOD VACUUM MACHINE CO.,https://www.courtlistener.com/opinion/2447621/rankin-v-atwood-vacuum-machine-co/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2364305,2930409,9759555,"Westgate, Ltd. v. State",https://www.courtlistener.com/opinion/2364305/westgate-ltd-v-state/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,1747332,2930409,9676858,State Department of Highways & Public Transportation v. Payne,https://www.courtlistener.com/opinion/1747332/state-department-of-highways-public-transportation-v-payne/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2452220,2930409,2452220,Rendleman v. Clarke,https://www.courtlistener.com/opinion/2452220/rendleman-v-clarke/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2417422,2930409,2417422,"Miller v. Wal-Mart Stores, Inc.",https://www.courtlistener.com/opinion/2417422/miller-v-wal-mart-stores-inc/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2385390,2930409,2385390,Waggoner v. Morrow,https://www.courtlistener.com/opinion/2385390/waggoner-v-morrow/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2448605,2930409,2448605,Schlager v. Clements,https://www.courtlistener.com/opinion/2448605/schlager-v-clements/
courtlistener,2930409,2930409,"Kim-Lan Vu v. Marian S. Rosen, Robert E. Newey, and Rosen & Newey, P.C.",2004,https://www.courtlistener.com/opinion/2930409/kim-lan-vu-v-marian-s-rosen-robert-e-newey-and-ros/,2365230,2930409,2365230,Yazdi v. Republic Insurance Co.,https://www.courtlistener.com/opinion/2365230/yazdi-v-republic-insurance-co/
